"","DWpM","WWpM","PDW","BD"
"SL18-BL-15",0.033854015104076,0.0695928209909697,0.178780885041902,8.51254422763479
"SL18-BL-16",0.0483178243513504,0.101631285545621,0.448149198741132,5.77209711646238
"SL18-CC-10",0.0535225276031425,0.170547570815191,0.027370216551437,0.519567137916662
"SL18-CC-11",0.139086743972033,0.497159272782981,-0.944546525546675,72.3431830914789
"SL18-SF-13",0.054102818801106,0.20995220275712,-0.23577999402536,16.9587045318861
"SL18-OI-2",-0.00648126188945669,0.0244574439573583,0.0151169565443768,10.8162606307932
"SL18-OI-14",0.0227240961118261,-0.00280530888357611,0.43475066239484,-36.2747327571818
"SL18-PI-1",0.00832327685334715,0.0149167519676525,0.0770128214627635,5.32829856489861
"SA18-CB-1",0.00880644071190875,-0.0373615189254916,0.325427956818941,-10.0785388671723
"SA18-CB-3",0.057608582414097,0.0642798166898583,-0.465435879936311,36.9972026941476
"SA18-CB-4",0.0424009518514283,0.0489514598611597,-0.378986911336419,-20.6802592815737
"SA18-CB-7",0.113063239633178,0.20791443075646,0.549884781826584,16.6749336709247
"SA18-CB-10",0.112157869357419,0.154971640474366,0.0245641656883832,-3.06006239633012
"SL18-NC-11",-0.0656871317850626,-0.129151179285332,-0.239926284407988,-7.03837711363766
"SL18-TI-1",0.0152954102801414,0.0346007325872576,0.144994439974063,4.62206437107033
"SL18-TI-2",0.0117161993014035,0.0248471607309659,0.126750295975381,3.21526851905981
"SL18-TI-3",0.0128907970480532,0.01636609662171,0.175119605918156,4.11857897945998
"SL18-TI-4",0.014833757765932,0.0232983807025157,0.147229135539536,4.19191408598622
"SL18-BL-17",0.0182340455750205,0.0408521551161791,0.217400308600468,5.01343875046433
"SL18-OD-3",-0.0503680137712683,-0.144639444195106,0.266737694202629,-13.9609904803528
"SL18-OD-5",-0.0661706377682121,-0.207075671735453,-0.144371074853757,-5.42364606701337
"SL18-OD-6",0.0314428510261144,0.12297440008292,0.428016088995437,-8.08656915026419
"SL18-OD-10",0.0198842194235437,0.0731719660117854,0.00426923320738273,1.2398357947252
"SA18-CB-2",0.0681590561041601,0.18812281692245,0.0695219204086601,-4.71531145277755
"SL18-NC-15",-0.0196871251063121,-0.0221869716105015,-0.22276989250263,67.1871819436725
"SL18-BL-18",0.010731914837813,0.033854808093156,0.0158201604533215,2.48492149827596
"SL18-FW-21",0.01882439836051,0.0457977818210953,0.139267894861001,4.17314847468614
"SL18-SF-17",0.0567352885608408,0.222539571002202,-0.137811285232502,16.4677837566031
"SL18-LL-9",-0.0239987675171848,-0.0655842537234976,-0.455268573220188,40.3187908494583
"SL18-LD-2",0.00324690454800942,0.0194224801557432,-0.061217921068395,12.7477884057028
"SL18-FW-12",0.00414340952361602,0.00262458750408692,-0.0174060031719554,0.902897867957787
"SL18-SF-19",-0.0282848903039076,-0.0764378909591165,-0.191904677373535,6.42018302385193
"SA18-CB-5",0.0116155964769606,-0.00197855837162151,0.0986411164953481,-26.5805837490955
"SL18-SF-15",0.0211489214610172,0.0945240853589397,0.0434189314547745,10.0567505662461
"SL18-SF-18",-0.0224877811956457,-0.0560354434171111,-0.130395929479985,6.35839786673143
"SA18-CB-9",0.0678018097253272,0.15952208615366,0.33261104338737,-0.119495872942567
"SL18-OI-7",0.0622185089782205,0.193942628915163,-0.229727701804758,-0.882805159320773
"SL18-OI-9",-0.0146555107793351,-0.100127950722549,0.701817208958765,-3.45737449598912
"SL18-TI-5",0.0173696756988042,0.0374851388550088,0.0615148898559347,2.04994720257861
"SL18-CB-2",0.0000000000000000404770315544754,0.000000000000000261159050018556,-0.000000000000000680600069926599,0.0000000000000211983946350336
"SL18-CB-3",0.0000000000000000559646085597503,0.0000000000000000333114944849283,0.000000000000000795962097658153,0.0000000000000150174915447981
"SL18-CB-4",-0.00000000000000018827003246167,-0.000000000000000538752525349293,-0.00000000000000110430897762555,-0.0000000000000269539241242434
"SL18-CB-7",0.000000000000000152597970178756,0.000000000000000638741047120565,-0.00000000000000166790832106735,-0.0000000000000143422225758406
