"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SL18-NL-3-MG2","SL18-NL-3-MG2",-0.083595565962161,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,4.92691930363966e-07,NA,"Ne60",4.92691930363966e-07,-0.083595565962161,5.73447925569545e-08,-0.101895104209455,"NL","GOM"
"SA18-CB-7-MG1","SA18-CB-7-MG1",0.194653253437547,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,2.84175659737842e-07,NA,"Ne60",2.84175659737842e-07,0.194653253437547,8.80315478180586e-08,0.148671750984592,"CB","GOM"
"SL18-SF-19-MG1","SL18-SF-19-MG1",-0.108824268033806,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.12141599795525e-07,NA,"Ne60",1.12141599795525e-07,-0.108824268033806,5.55589375800859e-08,-0.0748851114370393,"SF","GOM"
"SL18-SF-15-MG2","SL18-SF-15-MG2",0.076356059946114,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00346522242446847,NA,"Ne60",0.00346522242446847,0.076356059946114,0.00236450318544504,0.105145495209736,"SF","GOM"
"SA18-CB-2-MG3","SA18-CB-2-MG3",0.0131119081316974,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,2.07260683549496e-07,NA,"Ne60",2.07260683549496e-07,0.0131119081316974,9.35218173349332e-08,0.0455938783286214,"CB","GOM"
"SL18-NL-5-MG1","SL18-NL-5-MG1",-0.0480756146582317,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000873360823192431,NA,"Ne60",0.000873360823192431,-0.0480756146582317,3.63591275885082e-07,-0.0851796353064997,"NL","GOM"
"SL18-SF-15-MG1","SL18-SF-15-MG1",0.0654640403980645,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00322571893531561,NA,"Ne60",0.00322571893531561,0.0654640403980645,0.00526029147654964,0.101846256890724,"SF","GOM"
"SA18-CB-4-MG3","SA18-CB-4-MG3",-0.00524711480827309,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.14897525342664e-07,NA,"Ne60",1.14897525342664e-07,-0.00524711480827309,5.74273872808027e-08,0.00171600154429889,"CB","GOM"
"SA18-CB-5-MG3","SA18-CB-5-MG3",-0.146698808290949,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,5.97010105098466e-08,NA,"Ne60",5.97010105098466e-08,-0.146698808290949,3.00335523218122e-08,-0.0749032367577935,"CB","GOM"
"SL18-LD-13-MG2","SL18-LD-13-MG2",-0.155337024659626,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,3.27233018969577e-07,NA,"Ne60",3.27233018969577e-07,-0.155337024659626,0.00106833285142337,-0.054861196260792,"LD","GOM"
"SL18-LD-3-MG2","SL18-LD-3-MG2",-0.0361068971191311,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,5.88790430282334e-07,NA,"Ne60",5.88790430282334e-07,-0.0361068971191311,7.82071947793796e-07,-0.0283106777271573,"LD","GOM"
"SL18-NL-6-MG1","SL18-NL-6-MG1",-0.0759636742151162,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,5.74408447251897e-07,NA,"Ne60",5.74408447251897e-07,-0.0759636742151162,1.35385281233299e-07,-0.0198713374604129,"NL","GOM"
"SL18-SF-17-MG2","SL18-SF-17-MG2",0.106298538019357,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00368787957222038,NA,"Ne60",0.00368787957222038,0.106298538019357,0.00517590765833581,0.0697952821540363,"SF","GOM"
"SL18-OI-9-MG3","SL18-OI-9-MG3",0.0174665326658855,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.9694397308706e-06,NA,"Ne60",1.9694397308706e-06,0.0174665326658855,0.00162966877601652,0.047457819058398,"OI","GOM"
"SL18-LD-9-MG1","SL18-LD-9-MG1",0.0101485920186838,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00594005372398566,NA,"Ne60",0.00594005372398566,0.0101485920186838,0.00733654240224932,-0.0127093268449811,"LD","GOM"
"SL18-NL-2-MG2","SL18-NL-2-MG2",-0.141108029706929,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,3.29053862041857e-07,NA,"Ne60",3.29053862041857e-07,-0.141108029706929,4.49002144448356e-07,-0.087653110408284,"NL","GOM"
"SL18-LD-2-MG3","SL18-LD-2-MG3",0.0348848556965083,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,4.35595839371026e-06,NA,"Ne60",4.35595839371026e-06,0.0348848556965083,1.62159576833508e-07,-0.040400997041649,"LD","GOM"
"SL18-OI-7-MG1","SL18-OI-7-MG1",0.0366854277211866,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,2.35444998564058e-07,NA,"Ne60",2.35444998564058e-07,0.0366854277211866,8.50794458435476e-08,0.0568496572930288,"OI","GOM"
