"","DWpM","WWpM","PDW","BD"
"SL18-CC-12",0.137162663712883,0.407061592893582,-0.0455537492784785,42.3749309741851
"SL18-FW-14",0.0408841783362145,0.108724772539344,0.0195985421883943,8.32995925547723
"SL18-NC-2",0.0283600721261478,0.0667872419705004,0.0248785292063302,47.0916937942419
"SL18-NC-1",-0.0675860925570007,-0.189772143978468,-0.0436739082160218,-4.86428303559826
"SL18-NC-5",-0.109315269645119,-0.43100142669559,-0.104183061412879,-14.1465319911884
"SL18-JS-6",0.0143755072785965,0.077281959766401,0.263298423317482,-8.33080787617601
"SL18-JS-5",-0.0562718944940099,-0.0715485905214566,-0.202696451681617,-4.54164823416359
"SL18-JS-9",-0.105245118607627,-0.306352355590135,-0.0477762512751521,-11.8214187542974
"SL18-NC-8",-0.0698356107537269,-0.221825835254436,0.00397552777842755,-18.1858875649541
"SL18-NC-10",-0.127863539721069,-0.343353427111267,-0.255843541562541,-10.0076218798412
"SL18-NC-9",-0.0173719521187538,-0.0162444587128908,0.0456031120670367,2.86249031593061
"SL18-NC-12",-0.097726354793226,-0.222353628643869,-0.0327831676011301,-14.3339815773843
"SL18-NL-2",-0.0777958207940187,-0.225454934686289,-0.0429958500519719,-16.1361503624878
"SL18-NL-3",-0.0484913253251381,-0.154853379446594,-0.0874846948395828,-12.1834691388466
"SL18-NL-5",-0.0231746642375206,-0.128560682374055,-0.029204310458196,-1.79529056995177
"SL18-NL-7",-0.0667066077844586,-0.275158626219731,0.0244581247202965,-26.8378032647271
"SL18-NL-6",0.00452165210911946,0.0999772947064452,-0.13113822566975,66.0977132893089
"SL18-NL-9",-0.0666901668704619,-0.162422350565416,-0.180156201078738,-7.97286438780189
"SL18-NL-10",-0.0339906331390396,-0.106859008013485,-0.0765860395000704,11.8767069935283
"SL18-JS-19",-0.05005873164567,-0.0803988860081015,-0.041185662791986,-36.1821384449083
"SL18-JS-16",-0.103433991383875,-0.230880021072931,-0.0594880506468625,-25.9880518343122
"SL18-JS-11",-0.0797522627334578,-0.260379741520597,-0.104949614321931,1.42030934753273
"SL18-BL-10",0.0368818698217332,0.109967853715481,0.00179068540502308,12.8275355910431
"SL18-BL-11",0.0423281619600987,0.121365663586516,0.01206258322259,12.3115509609582
"SL18-BL-12",0.043536479493499,0.130638876063186,0.0275038524115955,10.303398956121
"SL18-BL-13",0.0443493643344542,0.136258300063724,0.00126880578923467,12.9361114509368
"SL18-BL-14",0.0401594598066195,0.108000445771222,0.0196462804937569,9.27523480849517
"SL18-BL-15",0.0370190100665242,0.111546612112032,0.0153919725690547,10.6619611747244
"SL18-BL-16",0.0541852643785529,0.156040924719216,0.0451274912686472,8.76486712144802
"SL18-CC-10",0.057099088681057,0.18448289037756,0.00230425832974587,-0.693098648412345
"SL18-CC-11",0.13028095902339,0.474518466537953,-0.0922854041019367,58.4314985124313
"SL18-SF-13",0.0470895613689829,0.111245462835705,0.120489950844945,4.87795399957586
"SL18-OI-2",-0.0271509426813094,-0.123158385922678,0.0834129278581896,-17.1983197743004
"SL18-OI-14",0.027711862332743,0.0268868919883735,0.0635665041677697,-31.7132871403732
"SL18-PI-1",0.0196360384120012,0.0740106901980262,-0.02349222930543,9.34882432759863
"SA18-CB-1",0.0231078926287446,0.0610759015735334,-0.0058708602516316,7.63315720075984
"SA18-CB-3",0.0605108848778198,0.14816423019431,-0.124991115271076,30.7961490685638
"SA18-CB-4",0.0748752404569,0.191039017480949,-0.0802263928035846,-8.98299498629619
"SA18-CB-7",0.156351315882341,0.384869351996939,0.0209698370946321,31.4125089249822
"SA18-CB-10",0.151553502174615,0.296507165019035,0.0393639187973269,30.0651779548119
"SL18-NC-11",-0.0698122176641684,-0.167959932361275,-0.0306919271423011,-6.52720885369608
"SL18-TI-1",0.0164802007606123,0.0565493921066453,0.00521979340549886,4.33224928969038
"SL18-TI-2",0.00975083748798925,0.03205256413083,0.0106736308240596,2.99263353362941
"SL18-TI-3",0.0221624256789149,0.0637413122814698,0.0108831759174817,4.98802046839409
"SL18-TI-4",0.0269275870982153,0.0918724828612153,-0.0103104256747267,7.95295306839367
"SL18-BL-17",0.0159191245133584,0.0547463463066745,0.0123002044545617,8.42527121269807
"SL18-OD-3",-0.0298653814624808,-0.0660012469273331,0.00644511820255031,-19.906131063082
"SL18-OD-5",-0.0632454027843288,-0.205905828643717,-0.0436105268768931,-4.47380104182431
"SL18-OD-6",-0.0164101452237782,-0.00645291906153222,0.0296555223431904,-0.782722758140478
"SL18-OD-10",0.0507598760740234,0.121842922875088,0.0330668196228066,-5.59538141577937
"SA18-CB-2",0.0597407702324902,0.16606937849656,-0.0117599918293387,7.47398304826043
"SL18-NC-15",-0.0780044959306723,-0.185067210367846,-0.0463369026224295,37.8512097656386
"SL18-BL-18",0.0175681937871936,0.0631362669909358,-0.00603073879677675,6.24755756793365
"SL18-FW-21",0.0248109995645147,0.0804533265497196,-0.000821303022997752,9.02804164356492
"SL18-SF-17",0.031273503179041,0.138954468301139,0.0138662887704041,-9.4570989438135
"SL18-LL-9",-0.0406927149029213,-0.201467446394926,-0.0112653371216752,-6.25114039235396
"SL18-LD-2",-0.0591194658203142,-0.302433369475273,0.291670094766924,-51.2135384482447
"SL18-FW-12",0.0137243102757317,0.0475339526956986,-0.0214251601320039,2.9606598512856
"SL18-SF-19",-0.00376565692903727,-0.0194462134151341,0.159672769359553,33.7956971863158
"SA18-CB-5",0.0271552072503534,0.0639121648503208,0.00187313123882527,-14.3707732848947
"SL18-SF-15",0.0314894120843667,0.210036904944248,-0.0190167834302895,20.1567172959182
"SL18-SF-18",-0.0134854421017434,-0.0637905205695526,0.0681350223971617,-3.66162089430657
"SA18-CB-9",0.0621127630337559,0.185281923137028,0.000966980196734816,12.6542694052997
"SL18-OI-7",0.0646994794645955,0.213310848181637,-0.0434141424391446,33.1362796055828
"SL18-OI-9",-0.00517965435846671,-0.0178034111620859,0.0674148176797635,9.21728876397718
"SL18-TI-5",0.0210016839486862,0.0638832783120098,0.00218139393016382,1.94545762614689
"SL18-CB-2",0.0000000000000000498049121724058,0.000000000000000475933310784005,-0.000000000000000313289691774775,0.0000000000000479638890727722
"SL18-CB-3",0.0000000000000000598129103774834,-0.0000000000000000584759065063381,0.000000000000000113297182163191,-0.0000000000000274707654912927
"SL18-CB-4",-0.0000000000000000120089474500142,-0.000000000000000127646922767383,0.0000000000000000442745815109553,0.0000000000000278710371355235
"SL18-CB-7",0.000000000000000240708558169013,0.000000000000000963946664123212,-0.000000000000000192054323411779,0.0000000000000665500662628763
"SL18-TI-6",0.000000000000000100093169063437,0.000000000000000186806440355881,-0.00000000000000000597781607400891,0.0000000000000442336530914993
"SL18-OD-1",-0.000000000000000069605566762623,-0.000000000000000272732166772698,0.0000000000000000667200364156156,-0.0000000000000164676167602857
"SL18-OD-4",0.000000000000000205695852568251,0.000000000000000569655693502487,0.000000000000000127289474336408,-0.0000000000000205506784045489
"SL19-LR-5",-0.000000000000000188228797011018,-0.00000000000000055172673873448,-0.000000000000000186837975764422,0.0000000000000438434614846967
"SL19-LR-2",0.000000000000000142339229238671,0.000000000000000643124440046414,-0.0000000000000000898970106619577,0.000000000000191085539713899
"SL18-DB-6",0.0000000000000000179917703923291,0.000000000000000159426962374924,-0.0000000000000000654573172299817,-0.00000000000000311166440778725
