"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"492","SL18-UCONN-S197","SL18-SF-17-FG3","SF","SL18-NL-9-MG1","NL","SF X NL","GOM",3,1,"4",51,"9",3,2.75,0.89,3.08988764,8.55,0.24,260,"195","2019_197","2019","SL18-SF-17-FG3xSL18-NL-9-MG1","SF X NL","ES","0","0"
"488","SL18-UCONN-S198","SL18-SF-17-FG3","SF","SL18-OI-7-MG1","OI","SF X OI","GOM",3,1,"2",52,"9",3,2.8,0.81,3.456790123,8.35,0.23,500,"196","2019_198","2019","SL18-SF-17-FG3xSL18-OI-7-MG1","SF X OI","ES","0","0"
"501","SL18-UCONN-S199","SL18-SF-17-FG3","SF","SL18-OI-9-MG3","OI","SF X OI","GOM",3,1,"2",53,"9",3,2.88,0.8,3.6,9.16,0.26,380,"197","2019_199","2019","SL18-SF-17-FG3xSL18-OI-9-MG3","SF X OI","ES","0","0"
"555","SL18-UCONN-S2","SA18-CB-10-FG2","CB","SL18-LL-9-MG1","LL","CB X LL","GOM",1,1,"4",34,"6",3,2.16,0.86,2.511627907,9.1,0.2,100,"2","2019_2","2019","SA18-CB-10-FG2xSL18-LL-9-MG1","CB X LL","ES","0","0"
"556","SL18-UCONN-S20","SL18-LD-1-FG2","LD","SL18-SF-13-MG3","SF","LD X SF","GOM",2,1,"3",32,"6",3,2.42,0.84,2.880952381,9.16,0.22,380,"20","2019_20","2019","SL18-LD-1-FG2xSL18-SF-13-MG3","LD X SF","ES","0","0"
"557","SL18-UCONN-S21","SL18-LD-1-FG2","LD","SL18-SF-15-MG1","SF","LD X SF","GOM",2,1,"2",34,"6",3,3.66,0.94,3.893617021,7.28,0.27,400,"21","2019_21","2019","SL18-LD-1-FG2xSL18-SF-15-MG1","LD X SF","ES","0","0"
"369","SL18-UCONN-S23","SL18-LD-1-FG3","LD","SL18-NL-5-MG1","NL","LD X NL","GOM",2,1,"4",42,"7",2,0.97,0.92,1.054347826,10.08,0.1,180,"23","2019_23","2019","SL18-LD-1-FG3xSL18-NL-5-MG1","LD X NL","ES","0","0"
"485","SL18-UCONN-S24","SL18-LD-1-FG3","LD","SL18-OI-11-MG2","OI","LD X OI","GOM",2,1,"2",16,"3",3,2.65,0.84,3.154761905,11.31,0.3,300,"24","2019_24","2019","SL18-LD-1-FG3xSL18-OI-11-MG2","LD X OI","ES","0","0"
"558","SL18-UCONN-S25","SL18-LD-1-FG3","LD","SL18-OI-15-MG1","OI","LD X OI","GOM",2,1,"1",31,"6",3,1.78,0.85,2.094117647,7.79,0.14,280,"25","2019_25","2019","SL18-LD-1-FG3xSL18-OI-15-MG1","LD X OI","ES","0","0"
"559","SL18-UCONN-S26","SL18-LD-1-FG3","LD","SL18-OI-16-MG1","OI","LD X OI","GOM",2,1,"4",53,"9",3,1.3,1,1.3,8.58,0.11,140,"26","2019_26","2019","SL18-LD-1-FG3xSL18-OI-16-MG1","LD X OI","ES","0","0"
"560","SL18-UCONN-S27","SL18-LD-1-FG3","LD","SL18-OI-6-MG2","OI","LD X OI","GOM",2,1,"1",32,"6",3,1.57,0.78,2.012820513,10.01,0.16,80,"27","2019_27","2019","SL18-LD-1-FG3xSL18-OI-6-MG2","LD X OI","ES","0","0"
"561","SL18-UCONN-S28","SL18-LD-1-FG3","LD","SL18-OI-7-MG1","OI","LD X OI","GOM",2,1,"2",39,"7",3,2.21,0.94,2.35106383,8.41,0.19,460,"28","2019_28","2019","SL18-LD-1-FG3xSL18-OI-7-MG1","LD X OI","ES","0","0"
"562","SL18-UCONN-S29","SL18-LD-1-FG3","LD","SL18-OI-9-MG3","OI","LD X OI","GOM",2,1,"1",42,"7",3,2.2,0.89,2.471910112,8.96,0.2,320,"29","2019_29","2019","SL18-LD-1-FG3xSL18-OI-9-MG3","LD X OI","ES","0","0"
"513","SL18-UCONN-S3","SA18-CB-4-FG3","CB","SA18-CB-4-MG3","CB","CB X CB","GOM",3,4,"1",51,"9",3,2.68,0.96,2.791666667,8.3,0.22,160,"3","2019_3","2019","SA18-CB-4-FG3xSA18-CB-4-MG3","CB X CB","ES","1","1"
"370","SL18-UCONN-S30","SL18-LD-1-FG3","LD","SL18-NL-9-MG2","SF","LD X SF","GOM",1,1,"4",43,"8",2,1.03,0.87,1.183908046,11,0.11,60,"30","2019_30","2019","SL18-LD-1-FG3xSL18-NL-9-MG2","LD X SF","ES","0","0"
"563","SL18-UCONN-S31","SL18-LD-1-FG3","LD","SL18-OI-15-MG2","SF","LD X SF","GOM",2,1,"1",2,"1",3,2.47,0.91,2.714285714,9.87,0.24,400,"31","2019_31","2019","SL18-LD-1-FG3xSL18-OI-15-MG2","LD X SF","ES","0","0"
"564","SL18-UCONN-S32","SL18-LD-2-FG2","LD","SA18-CB-3-MG3","CB","LD X CB","GOM",2,1,"2",42,"7",3,3.01,0.89,3.382022472,7.07,0.21,220,"32","2019_32","2019","SL18-LD-2-FG2xSA18-CB-3-MG3","LD X CB","ES","0","0"
"491","SL18-UCONN-S33","SL18-LD-2-FG2","LD","SL18-LL-9-MG2","LL","LD X LL","GOM",2,1,"2",6,"1",3,2.5,0.9,2.777777778,9.49,0.24,200,"33","2019_33","2019","SL18-LD-2-FG2xSL18-LL-9-MG2","LD X LL","ES","0","0"
"371","SL18-UCONN-S34","SL18-LD-2-FG2","LD","SL18-NL-9-MG1","NL","LD X NL","GOM",2,1,"3",36,"6",2,0.43,0.71,0.605633803,9.82,0.04,20,"34","2019_34","2019","SL18-LD-2-FG2xSL18-NL-9-MG1","LD X NL","ES","0","0"
"505","SL18-UCONN-S35","SL18-LD-2-FG2","LD","SL18-SF-19-MG1","SF","LD X SF","GOM",2,1,"1",14,"3",3,1.45,0.91,1.593406593,22.72,0.33,280,"35","2019_35","2019","SL18-LD-2-FG2xSL18-SF-19-MG1","LD X SF","ES","0","0"
"565","SL18-UCONN-S37","SL18-LD-3-FG1","LD","SL18-NL-9-MG1","NL","LD X NL","GOM",1,1,"4",23,"4",3,1.12,0.61,1.836065574,7.57,0.08,80,"37","2019_37","2019","SL18-LD-3-FG1xSL18-NL-9-MG1","LD X NL","ES","0","0"
"372","SL18-UCONN-S38","SL18-LD-3-FG1","LD","SL18-SF-19-MG2","SF","LD X SF","GOM",2,1,"4",50,"9",2,1.47,0.91,1.615384615,15.64,0.23,140,"38","2019_38","2019","SL18-LD-3-FG1xSL18-SF-19-MG2","LD X SF","ES","0","0"
"566","SL18-UCONN-S39","SL18-LD-3-FG2","LD","SA18-CB-2-MG3","CB","LD X CB","GOM",2,1,"1",21,"4",3,2.11,0.87,2.425287356,8.43,0.18,200,"39","2019_39","2019","SL18-LD-3-FG2xSA18-CB-2-MG3","LD X CB","ES","0","0"
"567","SL18-UCONN-S40","SL18-LD-3-FG2","LD","SL18-LL-9-MG2","LL","LD X LL","GOM",2,1,"3",26,"5",3,3.07,0.77,3.987012987,6.12,0.19,460,"40","2019_40","2019","SL18-LD-3-FG2xSL18-LL-9-MG2","LD X LL","ES","0","0"
"373","SL18-UCONN-S41","SL18-LD-3-FG2","LD","SL18-SF-17-MG3","SF","LD X SF","GOM",2,1,"2",20,"4",2,0.95,0.85,1.117647059,10.99,0.1,40,"41","2019_41","2019","SL18-LD-3-FG2xSL18-SF-17-MG3","LD X SF","ES","0","0"
"568","SL18-UCONN-S43","SL18-LD-4-FG1","LD","SA18-CB-2-MG1","CB","LD X CB","GOM",2,1,"2",54,"9",3,2.22,0.8,2.775,8.35,0.19,380,"43","2019_43","2019","SL18-LD-4-FG1xSA18-CB-2-MG1","LD X CB","ES","0","0"
"569","SL18-UCONN-S44","SL18-LD-4-FG1","LD","SL18-NL-3-MG2","NL","LD X NL","GOM",2,1,"3",43,"8",3,1.56,0.86,1.813953488,8.83,0.14,240,"44","2019_44","2019","SL18-LD-4-FG1xSL18-NL-3-MG2","LD X NL","ES","0","0"
"374","SL18-UCONN-S45","SL18-LD-4-FG2","LD","SL18-LL-9-MG1","LL","LD X LL","GOM",2,1,"1",9,"2",2,0.56,0.917,0.610687023,14.07,0.08,NA,"45","2019_45","2019","SL18-LD-4-FG2xSL18-LL-9-MG1","LD X LL","ES","0","0"
"570","SL18-UCONN-S46","SL18-LD-4-FG2","LD","SL18-SF-15-MG2","SF","LD X SF","GOM",2,1,"2",9,"2",3,3.03,0.73,4.150684932,8.91,0.27,200,"46","2019_46","2019","SL18-LD-4-FG2xSL18-SF-15-MG2","LD X SF","ES","0","0"
"375","SL18-UCONN-S47","SL18-LD-4-FG3","LD","SL18-SF-17-MG1","SF","LD X SF","GOM",2,1,"2",27,"5",2,1.58,0.86,1.837209302,10.48,0.17,20,"47","2019_47","2019","SL18-LD-4-FG3xSL18-SF-17-MG1","LD X SF","ES","0","0"
"353","SL18-UCONN-S48","SL18-LD-5-FG1","LD","SA18-CB-10-MG1","CB","LD X CB","GOM",1,4,"1",19,"4",2,1.22,0.94,1.29787234,10.29,0.13,40,"48","2019_48","2019","SL18-LD-5-FG1xSA18-CB-10-MG1","LD X CB","ES","0","0"
