"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Paint2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","CrossLoc","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","AshFreedryWgtPerM","Ash.Free..","densityBlades","Carbon..Celignis.","Hydrogen..Celignis.","Nitrogen..Celignis.","Sulphur..Celignis.","Oxygen..Celignis.","Ash..Celignis.","Ash..WHOI.","Moisture","HHV","LHV","Total.Sugars","Mannuronic","Guluronic","Glucuronic","Mannitol","Fucose","Glucan","Xylan","Mannan","Galactan","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Se78","Rb85","Sr88","Mo98","Cd111","C..UCONN.","N..UCONN.","C.N..UCONN.","Ash","C_N1","C_N_Combine","AshFDwPM","popChk","withinLoc","isSelf"
"593","SL19-UCONN-S153",260,"2020","2020_153","GOM","153","6_9_2020","185",NA,"SL18-JS-16-FG1","JS","SL18-LD-2-MG2","LD","SL18-JS-16-FG1xSL18-LD-2-MG2","JS X LD",2,1,"3",39,"7",3,1.74,1.05,1.65,13.08,0.216354947,NA,NA,110,NA,NA,NA,NA,NA,NA,51.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.93,NA,NA,0.103744674,"ES","0","0"
"383","SL19-UCONN-S154",261,"2020","2020_154","GOM","154","6_9_2020","185",NA,"SL18-NC-10-FG1","NC","SL18-NC-5-MG1","NC","SL18-NC-10-FG1xSL18-NC-5-MG1","NC X NC",1,1,"3",40,"7",2,0.19,0.98,0.2,9.56,0.018680038,NA,NA,80,NA,NA,NA,NA,NA,NA,45.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.64,NA,NA,0.010393632,"ES","1","0"
"457","SL19-UCONN-S156",263,"2020","2020_156","GOM","156","6_9_2020","185",NA,"SL18-OI-17-FG4","OI","SL18-JS-6-MG2","JS","SL18-OI-17-FG4xSL18-JS-6-MG2","OI X JS",3,1,"3",42,"7",3,8.79,0.855,10.28,11.12,1.143510679,0.657258194,57.477224,160,NA,NA,NA,NA,NA,42.52,NA,11.25,NA,NA,38.12,11.15,7.37,0.94,8.84,1.17,6.99,0.35,0.44,0.79,148.253809,26013.09789,10426.47533,32.79230212,2871.783074,8770.1335,109419.9041,9666.87004,160.7720677,3.31920046,0.07906284,0.133166983,0.9445741,26.58112443,43.0668556,0.042695232,28.5717324,796.6203975,0.156379532,1.069517064,24.42,1.32,18.5,42.52,NA,18.5,0.6570745728,"ES","0","0"
"347","SL19-UCONN-S157",264,"2020","2020_157","GOM","157","6_9_2020","185",NA,"SL18-CC-1-FG2","CC","SL18-OI-16-MG3","OI","SL18-CC-1-FG2xSL18-OI-16-MG3","CC X OI",3,1,"3",43,"8",2,0.58,0.89,0.65,12.11,0.078623966,0.045500438,57.870953,60,NA,NA,NA,NA,NA,42.13,NA,11.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.59,1.55,15.86,42.13,NA,15.86,0.0455523705,"ES","0","0"
"594","SL19-UCONN-S158",265,"2020","2020_158","GOM","158","6_9_2020","185",NA,"SA18-CB-2-FG3","CB","SL18-OI-2-MG2","OI","SA18-CB-2-FG3xSL18-OI-2-MG2","CB X OI",3,1,"3",45,"8",3,2.86,1.01,2.83,13.12,0.371376484,NA,NA,150,NA,NA,NA,NA,NA,NA,37.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.34,NA,NA,0.2326540736,"ES","0","0"
"384","SL19-UCONN-S159",266,"2020","2020_159","GOM","159","6_9_2020","185",NA,"SL18-CC-5-FG3","CC","SL18-JS-19-MG2","JS","SL18-CC-5-FG3xSL18-JS-19-MG2","CC X JS",2,1,"3",46,"8",2,1.6,1.05,1.52,11.62,0.176738612,NA,NA,40,NA,NA,NA,NA,NA,NA,42.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.69,NA,NA,0.1012232144,"ES","0","0"
"458","SL19-UCONN-S160",268,"2020","2020_160","GOM","160","6_9_2020","185",NA,"SL18-CC-3-FG2","CC","SA18-CB-10-MG3","CB","SL18-CC-3-FG2xSA18-CB-10-MG3","CC X CB",3,1,"3",47,"8",3,14.61,0.95,15.38,13.58,2.089694461,1.199526582,57.402008,250,27.01,3.46,1.69,0.82,24.42,42.6,NA,11.37,10.39,9.63,38.32,14.1,6.77,0.84,8.74,0.73,5.72,0.28,0.39,0.67,153.8795036,27864.00096,11286.76509,44.35886213,3346.882614,8863.213046,101906.9991,10129.10447,200.5585281,4.869127547,0.101584465,0.258755881,0.853224465,106.7949948,50.71654853,0.054292837,28.89078435,753.1952413,0.19891322,1.293948974,24.44,1.42,17.21,42.6,15.9822485207101,16.596124260355,1.198858696,"ES","0","0"
"451","SL19-UCONN-S162",270,"2020","2020_162","GOM","162","6_9_2020","185",NA,"SL18-CC-1-FG1","CC","SL18-OI-16-MG3","OI","SL18-CC-1-FG1xSL18-OI-16-MG3","CC X OI",3,1,"3",49,"9",3,0.98,0.94,1.05,14.15,0.14812139,0.086667509,58.511137,20,NA,NA,NA,NA,NA,41.49,NA,11.91,NA,NA,30.05,8.1,7.3,0.85,6.95,0.93,4.63,0.16,0.38,0.75,149.5611132,31097.98205,12615.2615,56.03635825,2275.334769,12812.1252,80683.62071,12474.94996,207.5934276,7.675637421,0.290785198,0.219761549,1.300424411,61.45501195,26.13459227,0.046500983,24.99430471,1121.886713,0.228048369,0.488749279,25.29,1.26,20.07,41.49,NA,20.07,0.0869312325,"ES","0","0"
"329","SL19-UCONN-S163",271,"2020","2020_163","GOM","163","6_9_2020","185",NA,"SL18-JS-16-FG3","JS","SL18-OD-6-MG2","OD","SL18-JS-16-FG3xSL18-OD-6-MG2","JS X OD",3,1,"3",50,"9",2,1.14,1.05,1.08,14.99,0.162267733,0.102148956,62.950874,100,NA,NA,NA,NA,NA,37.05,NA,10.63,NA,NA,42.58,10.34,5.68,0.84,17.91,0.72,5.87,0.19,0.37,0.67,161.3386514,31213.45231,11889.44777,73.96567318,2630.328312,10216.12671,76749.30289,8739.444388,242.3025897,9.323324629,0.870141276,0.356357835,2.213548188,47.5954925,35.43018874,0.025031379,21.93265851,675.6796716,0.151859112,0.872957483,NA,NA,NA,37.05,NA,NA,0.101911014,"ES","0","0"
"468","SL19-UCONN-S169",277,"2020","2020_169","GOM","169","6_9_2020","185",NA,"SL18-OI-4-FG2","OI","SL18-NC-15-MG1","NC","SL18-OI-4-FG2xSL18-NC-15-MG1","OI X NC",3,1,"3",57,"10",3,8.5,0.98,8.67,11.69,1.014038283,0.573216078,56.528051,300,NA,NA,NA,NA,NA,43.47,NA,10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.87,1.72,13.88,43.47,NA,13.88,0.5729445519,"ES","0","0"
"385","SL19-UCONN-S170",279,"2020","2020_170","GOM","170","6_9_2020","185",NA,"SL18-NC-12-FG2","NC","SL18-OI-16-MG1","OI","SL18-NC-12-FG2xSL18-OI-16-MG1","NC X OI",3,1,"3",58,"10",2,2.62,1.01,2.59,10.01,0.259678296,NA,NA,90,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,0.14777763,"ES","0","0"
"446","SL19-UCONN-S172",281,"2020","2020_172","GOM","172","6_9_2020","185",NA,"SL18-CC-8-FG2","CC","SL18-JS-5-MG3","JS","SL18-CC-8-FG2xSL18-JS-5-MG3","CC X JS",2,1,"3",60,"10",3,11.96,1.01,11.84,12.4,1.468216837,0.870637315,59.29896,210,NA,NA,NA,NA,NA,40.7,NA,11.11,NA,NA,36.53,13.78,7.13,1.03,5.08,1.12,6.71,0.33,0.44,0.83,113.9517499,29214.76269,12069.27991,39.51720784,3592.708681,10337.11926,103022.8178,9698.714227,137.289624,4.3030855,0.319641081,0.221207941,1.532818774,32.23856762,53.83495066,0.050341211,27.4523625,823.8096167,0.202882673,1.558727217,24.44,1.78,13.73,40.7,NA,13.73,0.87061888,"ES","0","0"
