crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Paint2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,CrossLoc,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,AshFreedryWgtPerM,Ash Free %,densityBlades,Carbon (Celignis),Hydrogen (Celignis),Nitrogen (Celignis),Sulphur (Celignis),Oxygen (Celignis),Ash (Celignis),Ash (WHOI),Moisture,HHV,LHV,Total Sugars,Mannuronic,Guluronic,Glucuronic,Mannitol,Fucose,Glucan,Xylan,Mannan,Galactan,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111,C (UCONN),N (UCONN),C:N (UCONN)
SL18-UCONN-S68,67,2019,2019_68,GOM,68,5_31_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-16-MG1,OI,SL18-NL-10-FG2xSL18-OI-16-MG1,NL X OI,2,1,4,26,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S69,68,2019,2019_69,GOM,69,5_30_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-5-MG2,OI,SL18-NL-10-FG2xSL18-OI-5-MG2,NL X OI,3,1,2,33,6,0,0.09,0.86,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S7,7,2019,2019_7,GOM,7,5_30_2019,122,,SL18-LD-10-FG1,LD,SL18-NL-6-MG1,NL,SL18-LD-10-FG1xSL18-NL-6-MG1,LD X NL,3,1,2,29,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S70,69,2019,2019_70,GOM,70,5_31_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-9-MG3,OI,SL18-NL-10-FG2xSL18-OI-9-MG3,NL X OI,1,1,4,30,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S74,73,2019,2019_74,GOM,74,5_31_2019,122,,SL18-NL-2-FG1,NL,SL18-LD-10-MG1,LD,SL18-NL-2-FG1xSL18-LD-10-MG1,NL X LD,2,1,4,46,8,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S83,82,2019,2019_83,GOM,83,5_30_2019,122,,SL18-NL-3-FG1,NL,SL18-LL-9-MG1,LL,SL18-NL-3-FG1xSL18-LL-9-MG1,NL X LL,1,1,1,49,9,0,0.07,0.89,0.078651685,9,0.01,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S89,88,2019,2019_89,GOM,89,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-LD-13-MG3,LD,SL18-NL-3-FG3xSL18-LD-13-MG3,NL X LD,3,1,4,2,1,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S90,89,2019,2019_90,GOM,90,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-LD-1-MG2,LD,SL18-NL-3-FG3xSL18-LD-1-MG2,NL X LD,1,1,4,45,8,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S91,90,2019,2019_91,GOM,91,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-OI-14-MG2,OI,SL18-NL-3-FG3xSL18-OI-14-MG2,NL X OI,3,1,4,33,6,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S92,91,2019,2019_92,GOM,92,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-OI-18-MG1,OI,SL18-NL-3-FG3xSL18-OI-18-MG1,NL X OI,2,1,4,17,3,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S93,92,2019,2019_93,GOM,93,5_30_2019,122,,SL18-NL-3-FG3,NL,SL18-SF-19-MG1,SF,SL18-NL-3-FG3xSL18-SF-19-MG1,NL X SF,1,1,1,39,7,0,0.07,0.85,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S105,207,2020,2020_105,GOM,105,6_9_2020,185,,SL18-JS-11-FG4,JS,SL18-NC-12-MG3,NC,SL18-JS-11-FG4xSL18-NC-12-MG3,JS X NC,2,1,2,52,9,0,0.04,0.953,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S108,210,2020,2020_108,GOM,108,6_9_2020,185,,SL18-OI-2-FG4,OI,SL18-NC-11-MG1,NC,SL18-OI-2-FG4xSL18-NC-11-MG1,OI X NC,3,1,2,55,10,0,0.06,0.94,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S120,224,2020,2020_120,GOM,120,6_9_2020,185,,SL18-NC-1-FG3,NC,SL18-OI-4-MG2,OI,SL18-NC-1-FG3xSL18-OI-4-MG2,NC X OI,1,1,3,4,1,0,0.06,1.05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S123,227,2020,2020_123,GOM,123,6_9_2020,185,,SL18-NL-3-FG3,NL,SL18-JS-16-MG2,JS,SL18-NL-3-FG3xSL18-JS-16-MG2,NL X JS,3,1,3,7,2,0,0.04,1.06,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S124,228,2020,2020_124,GOM,124,6_9_2020,185,,SL18-NL-2-FG1,NL,SA18-CB-7-MG1,CB,SL18-NL-2-FG1xSA18-CB-7-MG1,NL X CB,1,1,3,8,2,0,0.01,0.88,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S126,230,2020,2020_126,GOM,126,6_9_2020,185,,SL18-JS-5-FG2,JS,SA18-CB-4-MG1,CB,SL18-JS-5-FG2xSA18-CB-4-MG1,JS X CB,1,1,3,10,2,0,0.03,0.97,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S148,254,2020,2020_148,GOM,148,6_9_2020,185,,SL18-NL-6-FG2,NL,SL18-NC-9-MG1,NC,SL18-NL-6-FG2xSL18-NC-9-MG1,NL X NC,1,1,3,34,6,0,0.48,0.94,0.52,14.81,0.076281744,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
