Plot #,Number,Blade Length (cm),Blade Width Max,Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),Wet Weight (g),Dry Weight (g),% Dry Weight,Holdfast (Y/N),Stipe Hollow (Y/N),Bullations (Y/N),Fouling (Y/N),Sorrus Tissue (Y/N),Grazing (Y/N),Comments
S227,1,198.2,18.8,0.83,12.1,4.11,196.35,21.14,10.76648841,,,No,Yes,Yes,Yes,
S227,2,129.8,16.3,0.74,11.4,2.98,109.45,11.24,10.26952947,,,No,Yes,Yes,Yes,broken blade
S227,3,158.8,19,0.51,16.9,6.24,158.26,13.81,8.726146847,,,No,Yes,No,Yes,
S227,4,144,13.3,0.78,12.5,3.48,116.88,10.02,8.572895277,,,No,Yes,No,Yes,
S227,5,152.8,18.9,0.7,27.6,4.45,114.1,10.73,9.404031551,,,No,Yes,No,Yes,
S228,1,,,,,,,,,,,,,,,
S228,2,,,,,,,,,,,,,,,
S228,3,,,,,,,,,,,,,,,
S228,4,,,,,,,,,,,,,,,
S228,5,,,,,,,,,,,,,,,
S229,1,,,,,,,,,,,,,,,
S229,2,,,,,,,,,,,,,,,
S229,3,,,,,,,,,,,,,,,
S229,4,,,,,,,,,,,,,,,
S229,5,,,,,,,,,,,,,,,
S230,1,,,,,,,,,,,,,,,
S230,2,,,,,,,,,,,,,,,
S230,3,,,,,,,,,,,,,,,
S230,4,,,,,,,,,,,,,,,
S230,5,,,,,,,,,,,,,,,
S231,1,,,,,,,,,,,,,,,
S231,2,,,,,,,,,,,,,,,
S231,3,,,,,,,,,,,,,,,
S231,4,,,,,,,,,,,,,,,
S231,5,,,,,,,,,,,,,,,
Check3,1,,,,,,,,,,,,,,,
Check3,2,,,,,,,,,,,,,,,
Check3,3,,,,,,,,,,,,,,,
Check3,4,,,,,,,,,,,,,,,
Check3,5,,,,,,,,,,,,,,,
S232,1,133.2,13.5,1.26,12.9,5.32,114.68,11.67,10.17614231,,,No,No,No,No,
S232,2,122.3,12.8,1.48,27.3,7.7,145.57,13.91,9.55554029,,,No,No,No,No,
S232,3,88.1,15.7,1.03,19.5,5.87,82.66,9.53,11.52915558,,,No,No,No,No,
S232,4,110.8,18.5,1.11,14.6,5.18,152.62,17.09,11.19774604,,,No,No,No,No,
S232,5,70.4,12.7,1.05,11.8,4.19,45.26,4.65,10.2739726,,,No,No,No,No,
S233,1,,,,,,,,,,,,,,,
S233,2,,,,,,,,,,,,,,,
S233,3,,,,,,,,,,,,,,,
S233,4,,,,,,,,,,,,,,,
S233,5,,,,,,,,,,,,,,,
S234,1,,,,,,,,,,,,,,,
S234,2,,,,,,,,,,,,,,,
S234,3,,,,,,,,,,,,,,,
S234,4,,,,,,,,,,,,,,,
S234,5,,,,,,,,,,,,,,,
S235,1,,,,,,,,,,,,,,,
S235,2,,,,,,,,,,,,,,,
S235,3,,,,,,,,,,,,,,,
