Plot #,Number,Blade Length (cm),Blade Width Max,Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),Wet Weight (g),Dry Weight (g),% Dry Weight,Holdfast (Y/N),Stipe Hollow (Y/N),Bullations (Y/N),Fouling (Y/N),Sorrus Tissue (Y/N),Grazing (Y/N),Comments
S369,5,,,,,,,,,,,,,,,
S370,1,,,,,,,,,,,,,,,
S370,2,,,,,,,,,,,,,,,
S370,3,,,,,,,,,,,,,,,
S370,4,,,,,,,,,,,,,,,
S370,5,,,,,,,,,,,,,,,
S371,1,8.2,3.1,0.44,0.657,0.082,0.45,,0,,,No,No,No,No,
S371,2,7.6,2.9,0.93,0.243,0.062,0.36,,0,,,No,No,No,No,
S371,3,14.2,3.7,0.61,0.222,0.061,0.88,,0,,,No,No,No,No,
S371,4,12.3,4.1,0.29,0.37,0.081,1.14,,0,,,No,No,No,No,
S371,5,7,1.9,0.19,0.177,0.052,0.12,,0,,,No,No,No,No,
S372,1,8.2,2.2,0.25,0.6,0.67,0.55,,0,,,No,Yes,No,No,
S372,2,10.6,2.8,0.22,0.25,0.54,0.62,,0,,,No,Yes,No,No,
S372,3,5.4,2.1,0.16,NA,NA,0.6,,0,,,No,Yes,No,No,broken stipe
S372,4,10.1,1.9,0.17,0.27,0.38,0.35,,0,,,No,Yes,No,No,
S372,5,10.2,3.2,0.2,0.26,0.62,0.87,,0,,,No,Yes,No,No,
S372,6,11.1,2.8,0.27,0.44,0.57,0.55,,0,,,No,Yes,No,No,
S372,7,14.5,3,0.21,0.66,0.64,1,,0,,,No,Yes,No,No,
S372,8,9.8,1.8,0.15,0.78,0.44,0.26,,0,,,No,Yes,No,No,
S372,9,12,1.9,0.18,0.42,0.48,0.47,,0,,,No,Yes,No,No,
S372,10,10.5,2.2,0.15,0.28,0.39,0.32,,0,,,No,Yes,No,No,
S373,1,24.6,4.3,0.11,1.12,0.88,1.73,,0,,,Yes,Yes,No,No,
S373,2,16.9,3.6,0.19,0.917,0.8,1.07,,0,,,Yes,Yes,No,No,
S373,3,15.9,3.1,0.17,0.462,0.58,0.61,,0,,,Yes,Yes,No,No,
S373,4,15.4,4.1,0.19,0.81,0.79,1.27,,0,,,Yes,Yes,No,No,
S373,5,24.6,4.5,0.18,1.164,0.93,1.9,,0,,,Yes,Yes,No,No,
S373,6,19.7,3.3,0.18,0.303,0.61,0.83,,0,,,Yes,Yes,No,No,
S373,7,14.1,3.3,0.13,NA,NA,0.54,,0,,,Yes,Yes,No,No,broken stipe
S373,8,18.1,2.6,0.14,0.877,0.63,0.65,,0,,,Yes,Yes,No,No,
S373,9,15.8,3,0.2,0.861,0.61,0.59,,0,,,Yes,Yes,No,No,
S373,10,16.6,3.3,0.16,1.172,0.98,1.4,,0,,,No,Yes,No,No,horse mane
S374,1,,,,,,,,#DIV/0!,,,,,,,
S374,2,,,,,,,,#DIV/0!,,,,,,,
S374,3,,,,,,,,#DIV/0!,,,,,,,
S374,4,,,,,,,,#DIV/0!,,,,,,,
S374,5,,,,,,,,#DIV/0!,,,,,,,
S375,1,,,,,,,,#DIV/0!,,,,,,,
S375,2,,,,,,,,#DIV/0!,,,,,,,
S375,3,,,,,,,,#DIV/0!,,,,,,,
S375,4,,,,,,,,#DIV/0!,,,,,,,
S375,5,,,,,,,,#DIV/0!,,,,,,,
S376,1,,,,,,,,#DIV/0!,,,,,,,
S376,2,,,,,,,,#DIV/0!,,,,,,,
S376,3,,,,,,,,#DIV/0!,,,,,,,
S376,4,,,,,,,,#DIV/0!,,,,,,,
S376,5,,,,,,,,#DIV/0!,,,,,,,
S377,1,,,,,,,,#DIV/0!,,,,,,,
S377,2,,,,,,,,#DIV/0!,,,,,,,
S377,3,,,,,,,,#DIV/0!,,,,,,,
S377,4,,,,,,,,#DIV/0!,,,,,,,
S377,5,,,,,,,,#DIV/0!,,,,,,,
S378,1,19.9,4.9,0.41,0.709,0.73,1.38,,0,,,Yes,Yes,No,No,
S378,2,23.2,5,1.04,1.022,1.23,2.11,,0,,,Yes,Yes,No,No,
S378,3,21.6,3.8,0.88,0.749,0.96,1.43,,0,,,Yes,Yes,No,No,
S378,4,27,6.1,0.9,0.991,1.31,3.05,,0,,,Yes,Yes,No,No,
S378,5,24.6,4.6,0.83,0.818,1.21,1.97,,0,,,Yes,Yes,No,No,
S378,6,21.5,4.2,0.65,0.766,1.15,1.49,,0,,,Yes,Yes,No,No,
S378,7,20.5,4.9,0.65,0.885,0.89,1.43,,0,,,Yes,Yes,No,No,
S378,8,20.4,4.3,0.48,0.93,0.82,1.36,,0,,,Yes,Yes,No,No,
S378,9,23.2,5.1,0.86,0.869,0.9,2.44,,0,,,Yes,Yes,No,No,
S378,10,34.5,5.9,1.12,1.466,1.39,3.78,,0,,,Yes,Yes,No,No,
S379,1,,,,,,,,#DIV/0!,,,,,,,
S379,2,,,,,,,,#DIV/0!,,,,,,,
S379,3,,,,,,,,#DIV/0!,,,,,,,
S379,4,,,,,,,,#DIV/0!,,,,,,,
S379,5,,,,,,,,#DIV/0!,,,,,,,
S380,1,,,,,,,,#DIV/0!,,,,,,,
S380,2,,,,,,,,#DIV/0!,,,,,,,
S380,3,,,,,,,,#DIV/0!,,,,,,,
S380,4,,,,,,,,#DIV/0!,,,,,,,
S380,5,,,,,,,,#DIV/0!,,,,,,,
S381,1,,,,,,,,#DIV/0!,,,,,,,
S381,2,,,,,,,,#DIV/0!,,,,,,,
S381,3,,,,,,,,#DIV/0!,,,,,,,
S381,4,,,,,,,,#DIV/0!,,,,,,,
S381,5,,,,,,,,#DIV/0!,,,,,,,
,1,,,,,,,,#DIV/0!,,,,,,,
,2,,,,,,,,#DIV/0!,,,,,,,
,3,,,,,,,,#DIV/0!,,,,,,,
,4,,,,,,,,#DIV/0!,,,,,,,
,5,,,,,,,,#DIV/0!,,,,,,,
S382,1,,,,,,,,#DIV/0!,,,,,,,
S382,2,,,,,,,,#DIV/0!,,,,,,,
S382,3,,,,,,,,#DIV/0!,,,,,,,
S382,4,,,,,,,,#DIV/0!,,,,,,,
S382,5,,,,,,,,#DIV/0!,,,,,,,
S383,1,,,,,,,,#DIV/0!,,,,,,,
S383,2,,,,,,,,#DIV/0!,,,,,,,
S383,3,,,,,,,,#DIV/0!,,,,,,,
S383,4,,,,,,,,#DIV/0!,,,,,,,
S383,5,,,,,,,,#DIV/0!,,,,,,,
S384,1,10.7,3,0.2,0.61,0.51,0.37,,0,,,No,Yes,No,No,
S384,2,10.6,2.6,0.15,0.66,0.42,0.29,,0,,,No,Yes,No,No,
S384,3,14.1,3.2,0.18,0.68,0.45,0.69,,0,,,No,Yes,No,No,
S384,4,15.5,3,0.17,0.68,0.43,0.61,,0,,,No,Yes,No,No,
S384,5,13.1,3.3,0.18,0.75,0.4,0.64,,0,,,No,Yes,No,No,
S384,6,15.4,3.7,0.16,0.49,0.46,0.66,,0,,,No,Yes,No,No,
S384,7,13.8,3,0.16,0.53,0.49,0.52,,0,,,Yes,Yes,No,No,
S384,8,15,3.7,0.17,0.56,0.58,0.87,,0,,,Yes,Yes,No,No,
S384,9,13.7,3.7,0.17,0.62,0.54,0.57,,0,,,No,Yes,No,No,
S384,10,20.2,3.7,0.18,0.45,0.53,0.99,,0,,,Yes,Yes,No,No,
S385,1,,,,,,,,#DIV/0!,,,,,,,
S385,2,,,,,,,,#DIV/0!,,,,,,,
S385,3,,,,,,,,#DIV/0!,,,,,,,
S385,4,,,,,,,,#DIV/0!,,,,,,,
S385,5,,,,,,,,#DIV/0!,,,,,,,
S386,1,,,,,,,,#DIV/0!,,,,,,,
S386,2,,,,,,,,#DIV/0!,,,,,,,
S386,3,,,,,,,,#DIV/0!,,,,,,,
S386,4,,,,,,,,#DIV/0!,,,,,,,
S386,5,,,,,,,,#DIV/0!,,,,,,,
S387,1,,,,,,,,#DIV/0!,,,,,,,
S387,2,,,,,,,,#DIV/0!,,,,,,,
S387,3,,,,,,,,#DIV/0!,,,,,,,
S387,4,,,,,,,,#DIV/0!,,,,,,,
S387,5,,,,,,,,#DIV/0!,,,,,,,
S388,1,,,,,,,,#DIV/0!,,,,,,,
S388,2,,,,,,,,#DIV/0!,,,,,,,
S388,3,,,,,,,,#DIV/0!,,,,,,,
S388,4,,,,,,,,#DIV/0!,,,,,,,
S388,5,,,,,,,,#DIV/0!,,,,,,,
S389,1,,,,,,,,#DIV/0!,,,,,,,
S389,2,,,,,,,,#DIV/0!,,,,,,,
S389,3,,,,,,,,#DIV/0!,,,,,,,
S389,4,,,,,,,,#DIV/0!,,,,,,,
S389,5,,,,,,,,#DIV/0!,,,,,,,
S390,1,19.1,4.1,0.16,1.4,1.3,1.52,,0,,,No,Yes,No,No,
S390,2,19.1,4.2,0.22,1.2,1.1,1.52,,0,,,No,Yes,No,No,
S390,3,23,4.3,0.25,0.72,0.15,1.71,,0,,,No,Yes,No,No,
S390,4,21.5,3.8,0.23,1.3,1.1,1.34,,0,,,No,Yes,No,No,
S390,5,20.3,3.5,0.3,0.97,1,1.32,,0,,,No,Yes,No,No,
S390,6,21,4.1,0.28,1.1,1.1,1.42,,0,,,No,Yes,No,No,
S390,7,21.3,5,0.34,1.4,1.1,2.11,,0,,,No,Yes,No,No,
S390,8,25.6,4.4,0.33,1.7,1,1.8,,0,,,No,Yes,No,No,
S390,9,23,4.5,0.33,0.85,1.1,1.73,,0,,,No,Yes,No,No,
S390,10,21.4,4.1,0.31,1.1,1.1,1.59,,0,,,No,Yes,No,No,
,1,,,,,,,,#DIV/0!,,,,,,,
,2,,,,,,,,#DIV/0!,,,,,,,
,3,,,,,,,,#DIV/0!,,,,,,,
,4,,,,,,,,#DIV/0!,,,,,,,
,5,,,,,,,,#DIV/0!,,,,,,,
S391,1,7.5,2,0.12,0.39,0.49,0.28,,0,,,No,Yes,No,No,
S391,2,7.2,1.9,0.08,0.42,0.41,0.17,,0,,,No,Yes,No,No,
S391,3,9.1,1.9,0.13,0.5,0.31,0.28,,0,,,No,Yes,No,No,
S391,4,10.8,2.2,0.16,0.62,0.44,0.4,,0,,,No,Yes,No,No,
S391,5,8.5,2.5,0.1,0.27,0.43,0.42,,0,,,No,Yes,No,No,
S391,6,8.7,2.6,0.09,NA,NA,0.38,,0,,,No,Yes,No,No,broken stipe
S391,7,8.5,2.2,0.11,0.42,0.41,0.41,,0,,,No,Yes,No,No,
S391,8,7.7,1.9,0.1,0.41,0.35,0.16,,0,,,No,Yes,No,No,
S391,9,8,2.3,0.08,0.31,0.41,0.24,,0,,,No,Yes,No,No,
S391,10,10.7,2.8,0.14,0.37,0.5,0.57,,0,,,No,Yes,No,No,
S392,1,18.8,3.2,0.22,0.55,0.62,1.14,,0,,,No,Yes,No,No,
S392,2,14,2.8,0.17,0.53,0.58,0.71,,0,,,No,Yes,No,No,
S392,3,7.5,2,0.05,0.42,0.36,0.19,,0,,,No,Yes,No,No,
S392,4,7.7,2.2,0.1,0.43,0.22,0.24,,0,,,No,Yes,No,No,
S392,5,7.6,1.9,0.06,0.44,0.14,0.18,,0,,,No,Yes,No,No,
S392,6,16.5,4,0.16,0.88,0.68,1.25,,0,,,No,Yes,No,No,
S392,7,12.5,3.5,0.15,0.5,0.68,1.04,,0,,,No,Yes,No,No,
S392,8,9.7,3,0.09,0.56,0.57,0.44,,0,,,No,Yes,No,No,
S392,9,13.6,3.1,0.11,0.57,0.51,0.83,,0,,,No,Yes,No,No,
S392,10,14.8,3.4,0.07,0.76,0.6,1.11,,0,,,No,Yes,No,No,
S393,1,,,,,,,,#DIV/0!,,,,,,,
S393,2,,,,,,,,#DIV/0!,,,,,,,
S393,3,,,,,,,,#DIV/0!,,,,,,,
S393,4,,,,,,,,#DIV/0!,,,,,,,
S393,5,,,,,,,,#DIV/0!,,,,,,,
S394,1,,,,,,,,#DIV/0!,,,,,,,
S394,2,,,,,,,,#DIV/0!,,,,,,,
S394,3,,,,,,,,#DIV/0!,,,,,,,
S394,4,,,,,,,,#DIV/0!,,,,,,,
S394,5,,,,,,,,#DIV/0!,,,,,,,
,1,,,,,,,,#DIV/0!,,,,,,,
,2,,,,,,,,#DIV/0!,,,,,,,
,3,,,,,,,,#DIV/0!,,,,,,,
,4,,,,,,,,#DIV/0!,,,,,,,
,5,,,,,,,,#DIV/0!,,,,,,,
S395,1,20.4,4,0.22,0.89,0.7,3.74,,0,,,No,Yes,No,No,
S395,2,23.4,4.4,0.27,0.94,0.84,1.73,,0,,,No,Yes,No,No,
S395,3,28.9,4.6,0.41,1.13,1.02,2.78,,0,,,No,Yes,No,No,
S395,4,21.1,4.5,0.22,0.74,0.76,2.09,,0,,,Yes,Yes,No,No,
S395,5,30.2,5,0.26,1.17,1,3.92,,0,,,Yes,Yes,No,No,
S395,6,27.3,6.2,0.31,1.21,1.17,2.72,,0,,,Yes,Yes,No,No,
S395,7,26.4,5,0.24,0.92,0.82,1.3,,0,,,Yes,Yes,No,No,
S395,8,31.5,5,0.28,1.09,0.97,3.09,,0,,,Yes,Yes,No,No,
S395,9,23.3,4.6,0.2,0.89,0.81,1.57,,0,,,No,Yes,No,No,
S395,10,30.4,5.3,0.31,1.13,1.35,1.04,,0,,,Yes,Yes,No,No,
S396,1,16,3.5,0.29,0.94,0.68,0.98,,0,,,Yes,Yes,No,No,
S396,2,21.7,3.2,0.38,1.1,0.73,1.1,,0,,,Yes,Yes,No,No,
S396,3,15.9,4.5,0.25,0.75,0.5,1.03,,0,,,Yes,Yes,No,No,
S396,4,16.2,5.5,0.3,0.47,0.69,1.07,,0,,,Yes,Yes,No,No,
S396,5,17,3.2,0.17,1.2,0.45,0.62,,0,,,No,Yes,No,No,
S396,6,18.1,3.7,0.24,0.93,0.57,0.83,,0,,,No,Yes,No,No,
S396,7,16.7,3.3,0.23,0.78,0.52,1.21,,0,,,Yes,Yes,No,No,
S396,8,19,4.2,0.25,1.1,0.55,1.17,,0,,,Yes,Yes,No,No,
S396,9,26,4.5,0.39,1.4,0.66,3.18,,0,,,Yes,Yes,No,No,horse mane
S396,10,24,4.2,0.38,1.6,0.75,1.75,,0,,,Yes,Yes,No,No,
S397,1,,,,,,,,#DIV/0!,,,,,,,
S397,2,,,,,,,,#DIV/0!,,,,,,,
S397,3,,,,,,,,#DIV/0!,,,,,,,
S397,4,,,,,,,,#DIV/0!,,,,,,,
S397,5,,,,,,,,#DIV/0!,,,,,,,
S398,1,,,,,,,,#DIV/0!,,,,,,,
S398,2,,,,,,,,#DIV/0!,,,,,,,
S398,3,,,,,,,,#DIV/0!,,,,,,,
S398,4,,,,,,,,#DIV/0!,,,,,,,
S398,5,,,,,,,,#DIV/0!,,,,,,,
S399,1,,,,,,,,#DIV/0!,,,,,,,
S399,2,,,,,,,,#DIV/0!,,,,,,,
S399,3,,,,,,,,#DIV/0!,,,,,,,
S399,4,,,,,,,,#DIV/0!,,,,,,,
S399,5,,,,,,,,#DIV/0!,,,,,,,
S400,1,,,,,,,,#DIV/0!,,,,,,,
S400,2,,,,,,,,#DIV/0!,,,,,,,
S400,3,,,,,,,,#DIV/0!,,,,,,,
S400,4,,,,,,,,#DIV/0!,,,,,,,
S400,5,,,,,,,,#DIV/0!,,,,,,,
S401,1,,,,,,,,#DIV/0!,,,,,,,
S401,2,,,,,,,,#DIV/0!,,,,,,,
S401,3,,,,,,,,#DIV/0!,,,,,,,
S401,4,,,,,,,,#DIV/0!,,,,,,,
S401,5,,,,,,,,#DIV/0!,,,,,,,
S402,1,,,,,,,,#DIV/0!,,,,,,,
S402,2,,,,,,,,#DIV/0!,,,,,,,
S402,3,,,,,,,,#DIV/0!,,,,,,,
S402,4,,,,,,,,#DIV/0!,,,,,,,
S402,5,,,,,,,,#DIV/0!,,,,,,,
S403,1,,,,,,,,#DIV/0!,,,,,,,
S403,2,,,,,,,,#DIV/0!,,,,,,,
S403,3,,,,,,,,#DIV/0!,,,,,,,
S403,4,,,,,,,,#DIV/0!,,,,,,,
S403,5,,,,,,,,#DIV/0!,,,,,,,
S404,1,,,,,,,,#DIV/0!,,,,,,,
S404,2,,,,,,,,#DIV/0!,,,,,,,
S404,3,,,,,,,,#DIV/0!,,,,,,,
S404,4,,,,,,,,#DIV/0!,,,,,,,
S404,5,,,,,,,,#DIV/0!,,,,,,,
S405,1,,,,,,,,#DIV/0!,,,,,,,
S405,2,,,,,,,,#DIV/0!,,,,,,,
S405,3,,,,,,,,#DIV/0!,,,,,,,
S405,4,,,,,,,,#DIV/0!,,,,,,,
S405,5,,,,,,,,#DIV/0!,,,,,,,
S406,1,,,,,,,,#DIV/0!,,,,,,,
S406,2,,,,,,,,#DIV/0!,,,,,,,
S406,3,,,,,,,,#DIV/0!,,,,,,,
S406,4,,,,,,,,#DIV/0!,,,,,,,
S406,5,,,,,,,,#DIV/0!,,,,,,,
S407,1,,,,,,,,#DIV/0!,,,,,,,
S407,2,,,,,,,,#DIV/0!,,,,,,,
S407,3,,,,,,,,#DIV/0!,,,,,,,
S407,4,,,,,,,,#DIV/0!,,,,,,,
S407,5,,,,,,,,#DIV/0!,,,,,,,
,1,,,,,,,,#DIV/0!,,,,,,,
,2,,,,,,,,#DIV/0!,,,,,,,
,3,,,,,,,,#DIV/0!,,,,,,,
,4,,,,,,,,#DIV/0!,,,,,,,
,5,,,,,,,,#DIV/0!,,,,,,,
S408,1,16.5,3.4,0.2,0.696,0.58,0.72,,0,,,No,Yes,No,No,
S408,2,17.2,2.7,0.2,0.836,0.66,0.78,,0,,,No,Yes,No,No,
S408,3,10.4,2.1,0.2,0.598,0.43,0.48,,0,,,No,Yes,No,No,
S408,4,13.4,2.4,0.19,0.486,0.58,0.51,,0,,,No,Yes,No,No,
S408,5,10.9,2.6,0.16,0.754,0.52,0.4,,0,,,No,Yes,No,No,
S408,6,15.7,2.9,0.23,0.75,0.63,0.9,,0,,,Yes,Yes,No,No,
S408,7,10.1,2.4,0.15,0.597,0.49,0.32,,0,,,No,Yes,No,No,
S408,8,12.9,3,0.18,0.936,0.63,1,,0,,,No,Yes,No,No,
S408,9,11.7,2.6,0.21,0.918,0.48,0.65,,0,,,No,Yes,No,No,
S408,10,10.9,2.8,0.22,1.083,0.75,0.47,,0,,,No,Yes,No,No,
S409,1,,,,,,,,#DIV/0!,,,,,,,
S409,2,,,,,,,,#DIV/0!,,,,,,,
S409,3,,,,,,,,#DIV/0!,,,,,,,
S409,4,,,,,,,,#DIV/0!,,,,,,,
S409,5,,,,,,,,#DIV/0!,,,,,,,
S410,1,,,,,,,,#DIV/0!,,,,,,,
S410,2,,,,,,,,#DIV/0!,,,,,,,
S410,3,,,,,,,,#DIV/0!,,,,,,,
S410,4,,,,,,,,#DIV/0!,,,,,,,
S410,5,,,,,,,,#DIV/0!,,,,,,,
S411,1,,,,,,,,#DIV/0!,,,,,,,
S411,2,,,,,,,,#DIV/0!,,,,,,,
S411,3,,,,,,,,#DIV/0!,,,,,,,
S411,4,,,,,,,,#DIV/0!,,,,,,,
S411,5,,,,,,,,#DIV/0!,,,,,,,
S412,1,,,,,,,,#DIV/0!,,,,,,,
S412,2,,,,,,,,#DIV/0!,,,,,,,
S412,3,,,,,,,,#DIV/0!,,,,,,,
S412,4,,,,,,,,#DIV/0!,,,,,,,
S412,5,,,,,,,,#DIV/0!,,,,,,,
S413,1,,,,,,,,#DIV/0!,,,,,,,
S413,2,,,,,,,,#DIV/0!,,,,,,,
S413,3,,,,,,,,#DIV/0!,,,,,,,
S413,4,,,,,,,,#DIV/0!,,,,,,,
S413,5,,,,,,,,#DIV/0!,,,,,,,
S414,1,,,,,,,,#DIV/0!,,,,,,,
S414,2,,,,,,,,#DIV/0!,,,,,,,
S414,3,,,,,,,,#DIV/0!,,,,,,,
S414,4,,,,,,,,#DIV/0!,,,,,,,
S414,5,,,,,,,,#DIV/0!,,,,,,,
S415,1,,,,,,,,#DIV/0!,,,,,,,
S415,2,,,,,,,,#DIV/0!,,,,,,,
S415,3,,,,,,,,#DIV/0!,,,,,,,
S415,4,,,,,,,,#DIV/0!,,,,,,,
S415,5,,,,,,,,#DIV/0!,,,,,,,
S416,1,,,,,,,,#DIV/0!,,,,,,,
S416,2,,,,,,,,#DIV/0!,,,,,,,
S416,3,,,,,,,,#DIV/0!,,,,,,,
S416,4,,,,,,,,#DIV/0!,,,,,,,
S416,5,,,,,,,,#DIV/0!,,,,,,,
S417,1,10.8,2.5,0.15,0.43,0.44,0.37,,0,,,No,Yes,No,No,
S417,2,11,2.1,0.14,NA,NA,0.38,,0,,,No,Yes,No,No,broken stipe
S417,3,10.3,2.5,0.2,0.3,0.53,0.51,,0,,,No,Yes,No,No,
S417,4,9.8,2.5,0.18,0.25,0.64,0.5,,0,,,No,Yes,No,No,
S417,5,9,2.5,0.2,0.66,0.69,0.4,,0,,,No,Yes,No,No,
S417,6,19.7,2.6,0.34,0.78,0.82,1.1,,0,,,No,Yes,No,No,
S417,7,15.5,2.9,0.31,0.7,0.92,1.11,,0,,,No,Yes,No,No,
S417,8,6.5,1.8,0.06,0.4,0.43,0.14,,0,,,No,Yes,No,No,
S417,9,6.1,1.4,0.09,0.39,0.45,0.1,,0,,,No,Yes,No,No,
S417,10,7.1,1.6,0.06,0.38,0.42,0.15,,0,,,No,Yes,No,No,
,1,,,,,,,,#DIV/0!,,,,,,,
,2,,,,,,,,#DIV/0!,,,,,,,
,3,,,,,,,,#DIV/0!,,,,,,,
,4,,,,,,,,#DIV/0!,,,,,,,
,5,,,,,,,,#DIV/0!,,,,,,,
S418,1,,,,,,,,#DIV/0!,,,,,,,
S418,2,,,,,,,,#DIV/0!,,,,,,,
S418,3,,,,,,,,#DIV/0!,,,,,,,
S418,4,,,,,,,,#DIV/0!,,,,,,,
S418,5,,,,,,,,#DIV/0!,,,,,,,
S419,1,,,,,,,,#DIV/0!,,,,,,,
S419,2,,,,,,,,#DIV/0!,,,,,,,
S419,3,,,,,,,,#DIV/0!,,,,,,,
S419,4,,,,,,,,#DIV/0!,,,,,,,
S419,5,,,,,,,,#DIV/0!,,,,,,,
S420,1,,,,,,,,#DIV/0!,,,,,,,
S420,2,,,,,,,,#DIV/0!,,,,,,,
S420,3,,,,,,,,#DIV/0!,,,,,,,
S420,4,,,,,,,,#DIV/0!,,,,,,,
S420,5,,,,,,,,#DIV/0!,,,,,,,
S421,1,,,,,,,,#DIV/0!,,,,,,,
S421,2,,,,,,,,#DIV/0!,,,,,,,
S421,3,,,,,,,,#DIV/0!,,,,,,,
S421,4,,,,,,,,#DIV/0!,,,,,,,
S421,5,,,,,,,,#DIV/0!,,,,,,,
S422,1,,,,,,,,#DIV/0!,,,,,,,
S422,2,,,,,,,,#DIV/0!,,,,,,,
S422,3,,,,,,,,#DIV/0!,,,,,,,
S422,4,,,,,,,,#DIV/0!,,,,,,,
S422,5,,,,,,,,#DIV/0!,,,,,,,
,1,,,,,,,,#DIV/0!,,,,,,,
,2,,,,,,,,#DIV/0!,,,,,,,
,3,,,,,,,,#DIV/0!,,,,,,,
,4,,,,,,,,#DIV/0!,,,,,,,
,5,,,,,,,,#DIV/0!,,,,,,,
S423,1,14.1,3.3,0.1,0.77,0.48,0.48,,0,,,No,Yes,No,No,
S423,2,16.1,3.9,0.18,0.97,0.52,0.71,,0,,,No,Yes,No,No,
S423,3,22.5,4.4,0.23,1.3,0.64,1.47,,0,,,No,Yes,No,No,
S423,4,15.4,3.4,0.17,1.1,0.61,0.57,,0,,,No,Yes,No,No,
S423,5,20.7,4.8,0.27,0.93,0.87,1.4,,0,,,No,Yes,No,No,
S423,6,16.8,3.5,0.04,0.96,0.44,0.68,,0,,,No,Yes,No,No,
S423,7,17.5,4.3,0.3,0.98,0.69,1.02,,0,,,No,Yes,No,No,
S423,8,17.5,4.6,0.31,1.2,0.71,1.22,,0,,,No,Yes,No,No,
S423,9,18.6,4.5,0.22,1.4,0.78,1.13,,0,,,No,Yes,No,No,
S423,10,15.8,3.4,0.14,1,0.43,0.79,,0,,,No,Yes,No,No,
S424,1,24.1,4.5,0.11,0.96,0.88,2.3,,0,,,Yes,Yes,No,No,
S424,2,22.1,4.2,0.21,0.72,0.63,1.15,,0,,,Yes,Yes,No,No,
S424,3,23,5,0.26,0.89,0.74,1.65,,0,,,Yes,Yes,No,No,
S424,4,22.5,5.5,0.31,1,0.81,2.13,,0,,,Yes,Yes,No,No,
S424,5,29,5.7,0.34,0.66,0.81,2.6,,0,,,Yes,Yes,No,No,
S424,6,22,4,0.31,1.2,0.85,1.51,,0,,,Yes,Yes,No,No,
S424,7,23.3,5,0.35,1.5,0.8,1.99,,0,,,Yes,Yes,No,No,
S424,8,28.5,5.2,0.27,1.1,0.75,2.06,,0,,,Yes,Yes,No,No,
S424,9,26,4,0.36,1,0.97,1.91,,0,,,Yes,Yes,No,No,
S424,10,24,4.5,0.4,1.3,0.94,2.14,,0,,,Yes,Yes,No,No,
S425,1,,,,,,,,#DIV/0!,,,,,,,
S425,2,,,,,,,,#DIV/0!,,,,,,,
S425,3,,,,,,,,#DIV/0!,,,,,,,
S425,4,,,,,,,,#DIV/0!,,,,,,,
S425,5,,,,,,,,#DIV/0!,,,,,,,
S426,1,,,,,,,,#DIV/0!,,,,,,,
S426,2,,,,,,,,#DIV/0!,,,,,,,
S426,3,,,,,,,,#DIV/0!,,,,,,,
S426,4,,,,,,,,#DIV/0!,,,,,,,
S426,5,,,,,,,,#DIV/0!,,,,,,,
S427,1,,,,,,,,#DIV/0!,,,,,,,
S427,2,,,,,,,,#DIV/0!,,,,,,,
S427,3,,,,,,,,#DIV/0!,,,,,,,
S427,4,,,,,,,,#DIV/0!,,,,,,,
S427,5,,,,,,,,#DIV/0!,,,,,,,
S428,1,,,,,,,,#DIV/0!,,,,,,,
S428,2,,,,,,,,#DIV/0!,,,,,,,
S428,3,,,,,,,,#DIV/0!,,,,,,,
S428,4,,,,,,,,#DIV/0!,,,,,,,
S428,5,,,,,,,,#DIV/0!,,,,,,,
S429,1,,,,,,,,#DIV/0!,,,,,,,
S429,2,,,,,,,,#DIV/0!,,,,,,,
S429,3,,,,,,,,#DIV/0!,,,,,,,
S429,4,,,,,,,,#DIV/0!,,,,,,,
S429,5,,,,,,,,#DIV/0!,,,,,,,
S430,1,,,,,,,,#DIV/0!,,,,,,,
S430,2,,,,,,,,#DIV/0!,,,,,,,
S430,3,,,,,,,,#DIV/0!,,,,,,,
S430,4,,,,,,,,#DIV/0!,,,,,,,
S430,5,,,,,,,,#DIV/0!,,,,,,,
S431,1,,,,,,,,#DIV/0!,,,,,,,
S431,2,,,,,,,,#DIV/0!,,,,,,,
S431,3,,,,,,,,#DIV/0!,,,,,,,
S431,4,,,,,,,,#DIV/0!,,,,,,,
S431,5,,,,,,,,#DIV/0!,,,,,,,
S432,1,,,,,,,,#DIV/0!,,,,,,,
S432,2,,,,,,,,#DIV/0!,,,,,,,
S432,3,,,,,,,,#DIV/0!,,,,,,,
S432,4,,,,,,,,#DIV/0!,,,,,,,
S432,5,,,,,,,,#DIV/0!,,,,,,,
S433,1,14.4,2.7,0.15,1.3,0.58,0.64,,0,,,No,Yes,No,No,
S433,2,14.8,2.9,0.12,0.8,0.55,0.62,,0,,,No,Yes,No,No,
S433,3,16.5,3.1,0.12,1.2,0.64,0.87,,0,,,No,Yes,No,No,
S433,4,32,5.5,0.39,2.1,1.2,4.18,,0,,,Yes,Yes,No,No,
S433,5,29.5,5.2,0.27,1,0.8,2.89,,0,,,Yes,Yes,No,No,
S433,6,26.1,4.5,0.25,1.8,1.07,2.27,,0,,,Yes,Yes,No,No,
S433,7,18.1,4.3,0.23,1.3,1.24,2.12,,0,,,No,Yes,No,No,
S433,8,18.6,4.1,0.2,1.1,0.8,1.27,,0,,,No,Yes,No,No,
S433,9,29.9,5.3,31,1.7,1.22,6.04,,0,,,Yes,Yes,No,No,
