Plot #,Cross ID,FemaleGP,Female Location,MaleGP,Male Location,Crosses,Cross Location,Category,Site,F_Keeper,M_Keeper,Painting Density ,Development Ranking,Contamination is Culture,Line ,Position,Block,Harvest Date,Sample Date,Time,Recorder,Photo,Photo Score,Wet Weight of Plot (kg),Length of Plot (m),Wet Weight per meter (kg),% Dry Weight (Subsample),Dry Yield (kg/m) (Subsample),% Dry Weight (Individual),Dry Yield (kg/m) (Individual),Sporphyte Density per Meter,Blade Length (cm),Blade Width Max (cm),Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),% Dry Weight,Stipe Hollow (Y),Stipe Hollow (N),Bullations (Y),Bullations (N),Fouling (Y),Fouling (N),Sorrus Tissue (Y),Sorrus Tissue (N)
S25,SL20_UCONN_S25,SL18-OD-3-FG2,OD,SL18-OI-11-MG1,OI,SL18-OD-3-FG2xSL18-OI-11-MG1,OD x OI,Top160,GOM,,,,,,1,26,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S26,SL20_UCONN_S26,SL18-CC-12-FG3,CC,SL18-JS-6-MG1,JS,SL18-CC-12-FG3xSL18-JS-6-MG1,CC x JS,Top160,GOM,,,,,,1,27,3,6/7/21,6/8/21,10:35,,Yes,3,14.27,0.85,16.79,10.47,1.75779951,9.161989917,1.538136425,200,137.44,15.86,0.92,14.66,5.77,9.16,0,0,0,5,5,0,0,5
S27,SL20_UCONN_S27,SL19-UCONN-113,UCONN,SL19-UCONN-113,UCONN,SL19-UCONN-113xSL19-UCONN-113,UCONN x UCONN,4000,GOM,,,,,,1,28,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S28,SL20_UCONN_S28,SL18-CC-5-FG2,CC,SL18-NC-9-MG2,NC,SL18-CC-5-FG2xSL18-NC-9-MG2,CC x NC,TopRep1,GOM,,,,,,1,29,3,6/7/21,6/8/21,10:39,,Yes,3,15.2,0.9,16.89,10.5,1.7741235,9.677447237,1.634413311,350,149.4,19.94,1.27,10.7,5.11,9.68,0,0,0,5,5,0,0,5
S29,SL20_UCONN_S29,SL18-OI-6-FG2,OI,SL18-OI-11-MG3,OI,SL18-OI-6-FG2xSL18-OI-11-MG3,OI x OI,Paint_replace,GOM,,,,,,1,30,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S30,SL20_UCONN_S30,SL18-OD-5-FG1,OD,SL18-SF-13-MG13,SF,SL18-OD-5-FG1xSL18-SF-13-MG13,OD x SF,Diversity,GOM,,,,,,1,31,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S31,SL20_UCONN_S31,SL18-JS-19-FG6,JS,SL18-OI-4-MG1,OI,SL18-JS-19-FG6xSL18-OI-4-MG1,JS x OI,Top160,GOM,,,,,,1,32,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S32,SL20_UCONN_S32,SL19-UCONN-272,UCONN,SL19-UCONN-272,UCONN,SL19-UCONN-272xSL19-UCONN-272,UCONN x UCONN,4000,GOM,,,,,,1,33,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S33,SL20_UCONN_S33,SL18-CC-3-FG1,CC,SL18-CC-11-MG6,CC,SL18-CC-3-FG1xSL18-CC-11-MG6,CC x CC,Extra,GOM,,,,,,1,34,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
Check2,Check2,SL-ME1-FG1,ME1,SL-ME2-MG2,ME2,SL-ME1-FG1xSL-ME2-MG2,ME1 x ME2,Check8,GOM,,,,,,1,35,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
