"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"525","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",2,1,"4",32,"6",3,2.64,0.8,3.3,7.73,0.2,240,"576","Z1-G","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"432","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",2,1,"4",38,"7",3,3.67,0.84,4.369047619,10.2,0.37,260,"577","Z1-H","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"526","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",1,1,"4",49,"9",3,3.65,0.84,4.345238095,8.6,0.31,420,"578","Z1-I","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"527","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",1,1,"4",15,"3",3,2.34,0.71,3.295774648,9.37,0.22,660,"579","Z1-J","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"528","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",1,1,"2",18,"3",3,1.75,0.87,2.011494253,9.94,0.17,240,"580","Z2-A","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
"529","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",1,1,"1",52,"9",3,1.56,0.89,1.752808989,10.44,0.16,40,"581","Z2-B","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
"518","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",1,1,"3",28,"5",3,2.83,1.05,2.695238095,7.81,0.22,160,"583","Z2-D","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
"530","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",1,1,"3",40,"7",3,2.5,0.87,2.873563218,4.97,0.12,200,"584","Z2-E","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
"428","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",1,1,"3",45,"8",3,2.36,0.82,2.87804878,10.21,0.24,120,"585","Z2-F","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
"436","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",1,1,"4",8,"2",3,3.06,0.87,3.517241379,9.82,0.3,220,"586","Z2-G","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
"355","Check","SL18-ME-1-FG1","ME","SL18-ME-2-MG2","ME","ME X ME","GOM",2,1,"4",20,"4",2,1.15,0.84,1.369047619,10.92,0.13,180,"587","Z2-H","2019","SL18-ME-1-FG1xSL18-ME-2-MG2","ME X ME","Z2","1","0"
