"","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD"
"SL18-NC-15-MG4",-0.0154413223735174,0.768994418308651,-0.0177980077386773,0.0063854373285973,-0.112929312075904,65.1932323395591
"SL18-BL-16-FG3",0.00289869838592292,-0.952912041805537,0.0761128509558577,0.243653652421222,0.0883777794521816,17.5704850763235
"SL18-LD-1-MG3",0.0115826237410886,-0.234523793460045,-0.0670424888477088,-0.371042464693913,0.337605226341357,-37.4623334257128
"SL18-FW-12-MG11",-0.054008706759429,-0.648982653572264,-0.0000632678238331897,0.0698968637620919,-0.102412690862,10.6353699425595
"SL18-CC-2-FG1",0.0607272286266642,0.846286975781693,0.0776536879822681,0.281568982274484,-0.134727047319188,7.03630283550543
"SL18-SF-18-FG1",-0.00333499903579007,-0.221282706756052,-0.0546384064882186,-0.168908172223883,0.228787278201922,0.692511226184082
"SL18-BL-11-FG1",-0.0090469775823974,-1.02779368012393,0.0646912604720981,0.239131540209629,-0.0111232860680658,32.1382096041881
"SL18-BL-13-MG1",-0.0285839415069138,-0.78876347094912,0.0489083732595583,0.208272960910895,-0.0455410887048293,30.8019801495688
"SL18-BL-14-FG3",-0.0146407527980038,-0.991864221030034,0.0558462047289722,0.225067924419828,-0.0142892762172217,32.4688126032585
"SL18-BL-17-FG3",-0.0299622589186135,-0.728259630006693,0.0339523307116126,0.132043076961676,-0.0047532162596244,23.363027632823
"SL18-CC-9-FG1",0.0222111067409117,0.52673692567103,0.0323956024562535,0.177684149655022,-0.109039532196478,2.40538904523196
"SL18-FI-1-FG10",-0.0117223617801209,-1.23213556847356,0.0683781001139065,0.222138676083108,0.00568583483628532,37.0764552060549
"SL18-FI-1-FG11",-0.00352616741714899,-1.15088171326748,0.0598625358532351,0.192599677305212,-0.00949845823257339,26.3589526127146
"SL18-FI-1-FG12",-0.0102830334735259,-1.14814762599913,0.0450037585018007,0.12855888582176,-0.0151586538054709,27.288791368347
"SL18-FI-2-FG10",-0.0385887166840856,-1.04277635031395,0.0216715914304792,0.118631358206282,-0.0290995290074662,17.4279194281553
"SL18-FW-12-FG10",-0.0247072729179341,-0.62849374029296,0.0311553963743843,0.150861674653311,-0.0686910856323208,19.1134570462147
