"","BLUE_DwPM_2Yrs","CrossName","BLUE_DwPM_2019","BLUE_DwPM_2020","BLUE_DwPM_2019_2","BLUE_DwPM_2020_2","BV_DWpM"
"SL18-NL-2-FG1xSL18-SF-17-MG1",-0.0855630358334996,"SL18-NL-2-FG1xSL18-SF-17-MG1",0.0547297297297308,NA,0.0547297297297353,NA,0.0256079336812521
"SL18-NL-2-FG3xSA18-CB-2-MG3",-0.397541147672675,"SL18-NL-2-FG3xSA18-CB-2-MG3",-0.422312312312311,NA,-0.422312312312307,NA,-0.0468492749676207
"SL18-NL-2-FG3xSA18-CB-4-MG1",-0.278974948305735,"SL18-NL-2-FG3xSA18-CB-4-MG1",-0.235090090090089,-1.15911548225,-0.235090090090085,-1.15911548225,-0.0945357982761527
"SL18-NL-2-FG3xSL18-LD-3-MG2",-0.329977851143757,"SL18-NL-2-FG3xSL18-LD-3-MG2",-0.238648648648648,NA,-0.238648648648643,NA,-0.0838014069451795
"SL18-NL-2-FG3xSL18-OI-16-MG1",-0.145014652878588,"SL18-NL-2-FG3xSL18-OI-16-MG1",-0.0336486486486479,NA,-0.0336486486486431,NA,-0.111537648467907
"SL18-NL-3-FG1xSA18-CB-7-MG2",-0.0754457648382044,"SL18-NL-3-FG1xSA18-CB-7-MG2",0.16472972972973,-1.365772123,0.164729729729735,-1.365772123,0.0341796930249936
"SL18-NL-3-FG1xSL18-OD-3-MG1",-0.128956512215162,"SL18-NL-3-FG1xSL18-OD-3-MG1",NA,-1.18770754775,NA,-1.18770754775,-0.131135795363931
"SL18-NL-3-FG1xSL18-OI-11-MG2",-0.234975059594933,"SL18-NL-3-FG1xSL18-OI-11-MG2",-0.173648648648648,NA,-0.173648648648643,NA,-0.0951332264146347
"SL18-NL-3-FG1xSL18-OI-7-MG3",0.234539667961629,"SL18-NL-3-FG1xSL18-OI-7-MG3",NA,-1.0361999825,NA,-1.0361999825,0.00486762879156747
"SL18-NL-3-FG1xSL18-SF-13-MG2",-0.238377240514761,"SL18-NL-3-FG1xSL18-SF-13-MG2",-0.216096096096095,NA,-0.216096096096091,NA,-0.0300057857137948
"SL18-NL-3-FG2xSL18-SF-17-MG2",-0.0226914002208084,"SL18-NL-3-FG2xSL18-SF-17-MG2",0.015105105105106,NA,0.0151051051051104,NA,0.0405754590199106
"SL18-NL-3-FG3xSA18-CB-2-MG2",-0.312691400220808,"SL18-NL-3-FG3xSA18-CB-2-MG2",-0.274894894894894,NA,-0.27489489489489,NA,0.0285721417701106
"SL18-NL-3-FG3xSL18-NC-9-MG2",0.42268602248711,"SL18-NL-3-FG3xSL18-NC-9-MG2",NA,-0.559784136249999,NA,-0.559784136250002,-0.019365282139712
"SL18-NL-5-FG1xSL18-OI-14-MG1",0.169256150303515,"SL18-NL-5-FG1xSL18-OI-14-MG1",NA,-1.0322542755,NA,-1.0322542755,0.00592447559147495
"SL18-NL-6-FG1xSA18-CB-3-MG3",0.0181475157547141,"SL18-NL-6-FG1xSA18-CB-3-MG3",0.0449099099099108,NA,0.0449099099099153,NA,0.128364256944509
"SL18-NL-6-FG1xSA18-CB-7-MG2",0.124993451438404,"SL18-NL-6-FG1xSA18-CB-7-MG2",0.144624624624625,NA,0.14462462462463,NA,0.173276239233647
"SL18-NL-6-FG1xSL18-LD-1-MG2",-0.194397708892698,"SL18-NL-6-FG1xSL18-LD-1-MG2",-0.0885735735735727,NA,-0.088573573573568,NA,-0.00178215424772142
"SL18-NL-6-FG1xSL18-LD-2-MG1",-0.135254665165114,"SL18-NL-6-FG1xSL18-LD-2-MG1",-0.147537537537537,NA,-0.147537537537532,NA,0.0302031607745662
"SL18-NL-6-FG1xSL18-LD-3-MG2",-0.098965216753327,"SL18-NL-6-FG1xSL18-LD-3-MG2",0.00228228228228305,NA,0.00228228228228754,NA,0.0363066758942641
"SL18-NL-6-FG1xSL18-NL-2-MG1",-0.00755177320900896,"SL18-NL-6-FG1xSL18-NL-2-MG1",0.0911411411411422,NA,0.0911411411411466,NA,-0.00307587441705886
"SL18-NL-6-FG1xSL18-OI-11-MG2",-0.372691400220809,"SL18-NL-6-FG1xSL18-OI-11-MG2",-0.334894894894896,NA,-0.334894894894892,NA,0.0439631595012037
"SL18-NL-6-FG1xSL18-OI-14-MG2",0.105602291107311,"SL18-NL-6-FG1xSL18-OI-14-MG2",0.211426426426426,NA,0.211426426426431,NA,0.0876999892980894
"SL18-NL-6-FG1xSL18-OI-15-MG1",0.0818721118821846,"SL18-NL-6-FG1xSL18-OI-15-MG1",0.178168168168169,NA,0.178168168168173,NA,0.114897633203809
"SL18-NL-6-FG1xSL18-OI-16-MG1",0.0222001101874753,"SL18-NL-6-FG1xSL18-OI-16-MG1",0.08897897897898,NA,0.088978978978985,NA,0.00857040265558559
"SL18-NL-6-FG1xSL18-SF-17-MG1",0.0922001101874731,"SL18-NL-6-FG1xSL18-SF-17-MG1",0.158978978978982,NA,0.158978978978986,NA,0.0731484923729365
"SL18-NL-6-FG1xSL18-SF-19-MG2",-0.17696379697044,"SL18-NL-6-FG1xSL18-SF-19-MG2",-0.157237237237237,NA,-0.157237237237232,NA,0.0730483091967802
"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,"SL18-NL-7-FG3xSL18-OI-15-MG3",NA,-0.174579233,NA,NA,NA
