"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"107","SL20_UCONN_S100","SL18-CC-1-FG2","CC","SL18-CC-2-MG6","CC","CC x CC","GOM",NA,NA,"2",32,"3",2,5.51,0.83,6.64,10.11040314,0.671184594,100,"100","2021_100","2021","SL18-CC-1-FG2xSL18-CC-2-MG6","CC x CC","ES","1","0"
"112","SL20_UCONN_S105","SA18-CB-2-FG3","CB","SL18-JS-19-MG1","JS","CB x JS","GOM",NA,NA,"2",37,"4",3,9.57,0.72,13.29,11.2090151,1.489864924,275,"105","2021_105","2021","SA18-CB-2-FG3xSL18-JS-19-MG1","CB x JS","ES","0","0"
"114","SL20_UCONN_S107","SL18-CC-5-FG3","CC","SL18-NC-2-MG1","NC","CC x NC","GOM",NA,NA,"2",39,"4",3,8.51,0.815,10.44,9.700885797,1.012939118,168.75,"107","2021_107","2021","SL18-CC-5-FG3xSL18-NC-2-MG1","CC x NC","ES","0","0"
"116","SL20_UCONN_S109","SL18-JS-5-FG1","JS","SL18-OI-18-MG4","OI","JS x OI","GOM",NA,NA,"2",41,"4",3,9.13,0.795,11.48,10.24346114,1.176387424,237.5,"109","2021_109","2021","SL18-JS-5-FG1xSL18-OI-18-MG4","JS x OI","ES","0","0"
"123","SL20_UCONN_S115","SL18-NC-10-FG1","NC","SL18-OI-11-MG4","OI","NC x OI","GOM",NA,NA,"2",48,"5",2,1.99,0.79,2.52,12.54426278,0.315988392,56.25,"115","2021_115","2021","SL18-NC-10-FG1xSL18-OI-11-MG4","NC x OI","ES","0","0"
"127","SL20_UCONN_S119","SL18-CC-8-FG2","CC","SL18-JS-5-MG3","JS","CC x JS","GOM",NA,NA,"2",52,"5",3,8.49,0.86,9.87,10.45185231,1.031816583,150,"119","2021_119","2021","SL18-CC-8-FG2xSL18-JS-5-MG3","CC x JS","ES","0","0"
"131","SL20_UCONN_S123","SL18-JS-5-FG2","JS","SL18-CC-7-MG2","CC","JS x CC","GOM",NA,NA,"2",56,"6",2,3.79,0.9,4.21,10.53197583,0.443513205,56.25,"123","2021_123","2021","SL18-JS-5-FG2xSL18-CC-7-MG2","JS x CC","ES","0","0"
"135","SL20_UCONN_S127","SL18-CC-6-FG1","CC","SL18-OD-10-MG1","OD","CC x OD","GOM",NA,NA,"2",60,"6",3,14.7,0.83,17.71,12.10332322,2.143600619,81.25,"127","2021_127","2021","SL18-CC-6-FG1xSL18-OD-10-MG1","CC x OD","ES","0","0"
"138","SL20_UCONN_S130","SL18-CC-3-FG2","CC","SL18-OD-6-MG1","OD","CC x OD","GOM",NA,NA,"2",63,"6",3,12.75,0.84,15.18,11.40826843,1.731612172,175,"130","2021_130","2021","SL18-CC-3-FG2xSL18-OD-6-MG1","CC x OD","ES","0","0"
"141","SL20_UCONN_S133","SL18-UCONN-S2-FG1","UCONN","SL18-NC-2-MG3","NC","UCONN x NC","GOM",NA,NA,"2",66,"6",3,12.78,0.88,14.52,10.17888335,1.478251469,381.25,"133","2021_133","2021","SL18-UCONN-S2-FG1xSL18-NC-2-MG3","UCONN x NC","ES","0","0"
"143","SL20_UCONN_S134","SL18-CC-3-FG2","CC","SL18-OI-11-MG3","OI","CC x OI","GOM",NA,NA,"2",68,"7",3,12.11,0.755,16.04,8.788939598,1.40972263,206.25,"134","2021_134","2021","SL18-CC-3-FG2xSL18-OI-11-MG3","CC x OI","ES","0","0"
"144","SL20_UCONN_S135","SL18-JS-19-FG3","JS","SL18-OI-7-MG2","OI","JS x OI","GOM",NA,NA,"2",69,"7",2,7.27,0.855,8.5,9.489152498,0.806855423,81.25,"135","2021_135","2021","SL18-JS-19-FG3xSL18-OI-7-MG2","JS x OI","ES","0","0"
"145","SL20_UCONN_S136","SL18-NC-12-FG2","NC","SL18-OD-6-MG2","OD","NC x OD","GOM",NA,NA,"2",70,"7",2,2.5,0.84,2.98,9.941204068,0.295869169,87.5,"136","2021_136","2021","SL18-NC-12-FG2xSL18-OD-6-MG2","NC x OD","ES","0","0"
"149","SL20_UCONN_S140","SL18-UCONN-S142-FG1","UCONN","SL18-OI-15-MG1","OI","UCONN x OI","GOM",NA,NA,"2",74,"7",2,8.88,0.915,9.7,10.6524033,1.033807009,75,"140","2021_140","2021","SL18-UCONN-S142-FG1xSL18-OI-15-MG1","UCONN x OI","ES","0","0"
"150","SL20_UCONN_S141","SL18-CC-6-FG3","CC","SL18-CC-7-MG1","CC","CC x CC","GOM",NA,NA,"3",1,"1",2,9.45,0.893,10.58,9.683197586,1.02470568,275,"141","2021_141","2021","SL18-CC-6-FG3xSL18-CC-7-MG1","CC x CC","ES","1","0"
"151","SL20_UCONN_S142","SL18-LD-13-FG2","LD","SL18-OD-3-MG1","OD","LD x OD","GOM",NA,NA,"3",2,"1",2,9.18,0.89,10.31,9.76447601,1.007167301,62.5,"142","2021_142","2021","SL18-LD-13-FG2xSL18-OD-3-MG1","LD x OD","ES","0","0"
"153","SL20_UCONN_S144","SL18-SF-13-FG2","SF","SL18-UCONN-S5-MG1","UCONN","SF x UCONN","GOM",NA,NA,"3",4,"1",3,19.2,0.855,22.46,11.39787212,2.55952216,381.25,"144","2021_144","2021","SL18-SF-13-FG2xSL18-UCONN-S5-MG1","SF x UCONN","ES","0","0"
"166","SL20_UCONN_S156","SL18-UCONN-S57-FG3","UCONN","SL18-OI-11-MG3","OI","UCONN x OI","GOM",NA,NA,"3",17,"2",3,10.1,0.88,11.48,9.752999092,1.119378305,131.25,"156","2021_156","2021","SL18-UCONN-S57-FG3xSL18-OI-11-MG3","UCONN x OI","ES","0","0"
"168","SL20_UCONN_S158","SL18-JS-16-FG1","JS","SL18-OI-18-MG4","OI","JS x OI","GOM",NA,NA,"3",19,"2",2,3.85,0.81,4.75,11.14088353,0.529535822,12.5,"158","2021_158","2021","SL18-JS-16-FG1xSL18-OI-18-MG4","JS x OI","ES","0","0"
"170","SL20_UCONN_S160","SA18-CB-10-FG6","CB","SL18-NC-2-MG3","NC","CB x NC","GOM",NA,NA,"3",21,"2",3,13.34,0.85,15.69,10.86402857,1.705013426,181.25,"160","2021_160","2021","SA18-CB-10-FG6xSL18-NC-2-MG3","CB x NC","ES","0","0"
"173","SL20_UCONN_S163","SL18-CC-5-FG3","CC","SL18-JS-5-MG2","JS","CC x JS","GOM",NA,NA,"3",24,"3",2,3.94,0.8,4.93,10.6760263,0.525794295,112.5,"163","2021_163","2021","SL18-CC-5-FG3xSL18-JS-5-MG2","CC x JS","ES","0","0"
"175","SL20_UCONN_S165","SL18-SF-13-FG2","SF","SL18-NC-2-MG1","NC","SF x NC","GOM",NA,NA,"3",26,"3",3,3.75,0.812,4.62,10.09704327,0.466304338,62.5,"165","2021_165","2021","SL18-SF-13-FG2xSL18-NC-2-MG1","SF x NC","ES","0","0"
"186","SL20_UCONN_S175","SL18-JS-16-FG3","JS","SL18-JS-9-MG3","JS","JS x JS","GOM",NA,NA,"3",37,"4",2,2.51,0.89,2.82,11.74120093,0.331128251,106.25,"175","2021_175","2021","SL18-JS-16-FG3xSL18-JS-9-MG3","JS x JS","ES","1","0"
"194","SL20_UCONN_S182","SA18-CB-10-FG6","CB","SL18-JS-6-MG1","JS","CB x JS","GOM",NA,NA,"3",45,"5",3,5.82,0.85,6.85,12.0249046,0.823352291,143.75,"182","2021_182","2021","SA18-CB-10-FG6xSL18-JS-6-MG1","CB x JS","ES","0","0"
"195","SL20_UCONN_S183","SA18-CB-4-FG6","CB","SL18-OI-15-MG2","OI","CB x OI","GOM",NA,NA,"3",46,"5",3,12.92,0.895,14.44,11.27147118,1.627121874,181.25,"183","2021_183","2021","SA18-CB-4-FG6xSL18-OI-15-MG2","CB x OI","ES","0","0"
"196","SL20_UCONN_S184","SL18-JS-5-FG2","JS","SL18-OI-11-MG2","OI","JS x OI","GOM",NA,NA,"3",47,"5",3,6.14,0.83,7.4,8.833366904,0.653456299,168.75,"184","2021_184","2021","SL18-JS-5-FG2xSL18-OI-11-MG2","JS x OI","ES","0","0"
"202","SL20_UCONN_S190","SL18-CC-5-FG3","CC","SL18-JS-5-MG2","JS","CC x JS","GOM",NA,NA,"3",53,"5",3,4.64,0.73,6.36,10.26774646,0.652634844,106.25,"190","2021_190","2021","SL18-CC-5-FG3xSL18-JS-5-MG2","CC x JS","ES","0","0"
"211","SL20_UCONN_S199","SL18-CC-3-FG3","CC","SL18-UCONN-S157-MG1","UCONN","CC x UCONN","GOM",NA,NA,"3",62,"6",2,7.68,0.87,8.83,10.76093622,0.949930922,106.25,"199","2021_199","2021","SL18-CC-3-FG3xSL18-UCONN-S157-MG1","CC x UCONN","ES","0","0"
"218","SL20_UCONN_S205","SL18-NL-10-FG2","NL","SL18-OI-11-MG1","OI","NL x OI","GOM",NA,NA,"3",69,"7",3,4.27,0.675,6.33,9.228136119,0.583765055,68.75,"205","2021_205","2021","SL18-NL-10-FG2xSL18-OI-11-MG1","NL x OI","ES","0","0"
"224","SL20_UCONN_S211","SA18-CB-7-FG1","CB","SL18-LD-1-MG1","LD","CB x LD","GOM",NA,NA,"4",1,"1",3,11.37,0.85,13.38,9.334206012,1.248587322,212.5,"211","2021_211","2021","SA18-CB-7-FG1xSL18-LD-1-MG1","CB x LD","ES","0","0"
"225","SL20_UCONN_S212","SL18-CC-12-FG3","CC","SL18-OI-15-MG2","OI","CC x OI","GOM",NA,NA,"4",2,"1",3,9.7,0.825,11.76,8.318870405,0.97809749,143.75,"212","2021_212","2021","SL18-CC-12-FG3xSL18-OI-15-MG2","CC x OI","ES","0","0"
"226","SL20_UCONN_S213","SL18-CC-5-FG1","CC","SL18-OI-15-MG2","OI","CC x OI","GOM",NA,NA,"4",3,"1",3,5.77,0.84,6.87,8.09499189,0.556048848,150,"213","2021_213","2021","SL18-CC-5-FG1xSL18-OI-15-MG2","CC x OI","ES","0","0"
"227","SL20_UCONN_S214","SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","CC x CB","GOM",NA,NA,"4",4,"1",2,4.1,0.87,4.71,10.25848589,0.483445887,168.75,"214","2021_214","2021","SL18-CC-5-FG2xSA18-CB-10-MG1","CC x CB","ES","0","0"
"229","SL20_UCONN_S216","SL18-JS-16-FG1","JS","SL18-CC-2-MG6","CC","JS x CC","GOM",NA,NA,"4",6,"1",3,10.46,0.9,11.62,8.599996311,0.999510682,162.5,"216","2021_216","2021","SL18-JS-16-FG1xSL18-CC-2-MG6","JS x CC","ES","0","0"
"233","SL20_UCONN_S220","SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","CC x CB","GOM",NA,NA,"4",10,"1",2,6.47,0.861,7.51,9.132918083,0.686294774,87.5,"220","2021_220","2021","SL18-CC-5-FG2xSA18-CB-10-MG1","CC x CB","ES","0","0"
"237","SL20_UCONN_S223","SA18-CB-5-FG3","CB","SL18-NL-5-MG1","NL","CB x NL","GOM",NA,NA,"4",14,"2",2,9.68,0.83,11.66,10.24157635,1.194439266,106.25,"223","2021_223","2021","SA18-CB-5-FG3xSL18-NL-5-MG1","CB x NL","ES","0","0"
"241","SL20_UCONN_S227","SL18-UCONN-S94-FG2","UCONN","SL18-OI-17-MG3","OI","UCONN x OI","GOM",NA,NA,"4",18,"2",2,6.4,0.822,7.79,9.547818311,0.743382448,50,"227","2021_227","2021","SL18-UCONN-S94-FG2xSL18-OI-17-MG3","UCONN x OI","ES","0","0"
"247","SL20_UCONN_S232","SL18-JS-9-FG3","JS","SL18-JS-5-MG2","JS","JS x JS","GOM",NA,NA,"4",24,"3",3,7.02,0.78,9,10.54651136,0.949186023,306.25,"232","2021_232","2021","SL18-JS-9-FG3xSL18-JS-5-MG2","JS x JS","ES","1","0"
"255","SL20_UCONN_S240","SL18-CC-6-FG3","CC","SL18-OI-18-MG1","OI","CC x OI","GOM",NA,NA,"4",32,"3",2,7.51,0.905,8.3,9.678032041,0.80311625,150,"240","2021_240","2021","SL18-CC-6-FG3xSL18-OI-18-MG1","CC x OI","ES","0","0"
"257","SL20_UCONN_S242","SA18-CB-1-FG2","CB","SL18-LD-1-MG1","LD","CB x LD","GOM",NA,NA,"4",34,"4",2,2.64,0.83,3.18,11.53365142,0.366853491,75,"242","2021_242","2021","SA18-CB-1-FG2xSL18-LD-1-MG1","CB x LD","ES","0","0"
"262","SL20_UCONN_S247","SL18-SF-13-FG2","SF","SL18-UCONN-S2-MG3","UCONN","SF x UCONN","GOM",NA,NA,"4",39,"4",3,7.09,0.84,8.44,11.01836264,0.930002276,187.5,"247","2021_247","2021","SL18-SF-13-FG2xSL18-UCONN-S2-MG3","SF x UCONN","ES","0","0"
"263","SL20_UCONN_S248","SL18-JS-5-FG1","JS","SL18-JS-11-MG3","JS","JS x JS","GOM",NA,NA,"4",40,"4",2,3.05,0.781,3.91,9.557433409,0.373241638,125,"248","2021_248","2021","SL18-JS-5-FG1xSL18-JS-11-MG3","JS x JS","ES","1","0"
"266","SL20_UCONN_S251","SL18-CC-5-FG1","CC","SL18-NC-2-MG1","NC","CC x NC","GOM",NA,NA,"4",43,"4",2,2.15,0.84,2.56,14.73790157,0.3772201,237.5,"251","2021_251","2021","SL18-CC-5-FG1xSL18-NC-2-MG1","CC x NC","ES","0","0"
"268","SL20_UCONN_S253","SL18-CC-6-FG2","CC","SL18-OI-18-MG1","OI","CC x OI","GOM",NA,NA,"4",45,"5",2,11.22,0.875,12.82,11.47621813,1.471579056,181.25,"253","2021_253","2021","SL18-CC-6-FG2xSL18-OI-18-MG1","CC x OI","ES","0","0"
"276","SL20_UCONN_S260","SL18-OI-11-FG3","OI","SL18-NC-2-MG1","NC","OI x NC","GOM",NA,NA,"4",53,"5",2,6.4,0.84,7.62,10.00620864,0.762377801,175,"260","2021_260","2021","SL18-OI-11-FG3xSL18-NC-2-MG1","OI x NC","ES","0","0"
"279","SL20_UCONN_S263","SL18-NC-1-FG1","NC","SL18-NL-6-MG3","NL","NC x NL","GOM",NA,NA,"4",56,"6",3,5.29,0.87,6.08,9.705214662,0.590121673,162.5,"263","2021_263","2021","SL18-NC-1-FG1xSL18-NL-6-MG3","NC x NL","ES","0","0"
"281","SL20_UCONN_S265","SL18-OI-17-FG1","OI","SL18-NC-2-MG3","NC","OI x NC","GOM",NA,NA,"4",58,"6",3,11.44,0.85,13.46,8.98047481,1.208666257,262.5,"265","2021_265","2021","SL18-OI-17-FG1xSL18-NC-2-MG3","OI x NC","ES","0","0"
"284","SL20_UCONN_S268","SL18-JS-16-FG1","JS","SL18-OI-18-MG3","OI","JS x OI","GOM",NA,NA,"4",61,"6",2,2.6,0.941,2.76,9.553366252,0.263961236,43.75,"268","2021_268","2021","SL18-JS-16-FG1xSL18-OI-18-MG3","JS x OI","ES","0","0"
"288","SL20_UCONN_S272","SL18-CC-5-FG3","CC","SL18-NC-2-MG3","NC","CC x NC","GOM",NA,NA,"4",65,"6",3,6.54,0.72,9.08,9.60292879,0.872266032,118.75,"272","2021_272","2021","SL18-CC-5-FG3xSL18-NC-2-MG3","CC x NC","ES","0","0"
"289","SL20_UCONN_S273","SL18-NC-15-FG1","NC","SL18-OD-10-MG2","OD","NC x OD","GOM",NA,NA,"4",66,"6",3,3.54,0.872,4.06,11.15054831,0.452671342,137.5,"273","2021_273","2021","SL18-NC-15-FG1xSL18-OD-10-MG2","NC x OD","ES","0","0"
"291","SL20_UCONN_S274","SL18-CC-1-FG2","CC","SL18-CC-7-MG2","CC","CC x CC","GOM",NA,NA,"4",68,"7",3,7.66,0.8,9.58,9.998774438,0.957382652,125,"274","2021_274","2021","SL18-CC-1-FG2xSL18-CC-7-MG2","CC x CC","ES","1","0"
"294","SL20_UCONN_S277","SL18-CC-6-FG3","CC","SL18-CC-2-MG6","CC","CC x CC","GOM",NA,NA,"4",71,"7",2,4.16,0.88,4.73,8.45255448,0.399575303,100,"277","2021_277","2021","SL18-CC-6-FG3xSL18-CC-2-MG6","CC x CC","ES","1","0"
"296","SL20_UCONN_S279","SL18-UCONN-S57-FG2","UCONN","SL18-OI-11-MG1","OI","UCONN x OI","GOM",NA,NA,"4",73,"7",3,9.79,0.85,11.52,8.873916211,1.022066349,306.25,"279","2021_279","2021","SL18-UCONN-S57-FG2xSL18-OI-11-MG1","UCONN x OI","ES","0","0"
"302","SL20_UCONN_S285","SL18-CC-12-FG2","CC","SL18-OI-15-MG2","OI","CC x OI","GOM",NA,NA,"5",5,"1",3,12.25,0.84,14.58,9.611598165,1.401691399,237.5,"285","2021_285","2021","SL18-CC-12-FG2xSL18-OI-15-MG2","CC x OI","ES","0","0"
"305","SL20_UCONN_S287","SL18-JS-19-FG3","JS","SL18-LD-1-MG3","LD","JS x LD","GOM",NA,NA,"5",8,"1",2,6.15,0.95,6.47,9.719848106,0.629232272,62.5,"287","2021_287","2021","SL18-JS-19-FG3xSL18-LD-1-MG3","JS x LD","ES","0","0"
"3101","SL20_UCONN_S292","SL18-CC-12-FG2","CC","SL18-OI-15-MG2","OI","CC x OI","GOM",NA,NA,"5",13,"2",3,16.45,0.83,19.82,10.3730401,2.055861562,193.75,"292","2021_292","2021","SL18-CC-12-FG2xSL18-OI-15-MG2","CC x OI","ES","0","0"
"3141","SL20_UCONN_S296","SL18-CC-3-FG3","CC","SL18-JS-19-MG1","JS","CC x JS","GOM",NA,NA,"5",17,"2",3,13.58,0.855,15.88,9.503050303,1.50937337,181.25,"296","2021_296","2021","SL18-CC-3-FG3xSL18-JS-19-MG1","CC x JS","ES","0","0"
"326","SL20_UCONN_S308","SL18-UCONN-S78-FG1","UCONN","SL18-OI-11-MG2","OI","UCONN x OI","GOM",NA,NA,"5",29,"3",2,5.52,0.8,6.9,10.18151196,0.702524325,68.75,"308","2021_308","2021","SL18-UCONN-S78-FG1xSL18-OI-11-MG2","UCONN x OI","ES","0","0"
"327","SL20_UCONN_S309","SL18-JS-6-FG2","JS","SL18-NC-2-MG1","NC","JS x NC","GOM",NA,NA,"5",30,"3",3,5.06,0.82,6.17,10.0102117,0.617703307,243.75,"309","2021_309","2021","SL18-JS-6-FG2xSL18-NC-2-MG1","JS x NC","ES","0","0"
"3281","SL20_UCONN_S310","SL18-OI-11-FG3","OI","SL18-NC-2-MG1","NC","OI x NC","GOM",NA,NA,"5",31,"3",2,4.67,0.91,5.13,9.532167142,0.489178248,68.75,"310","2021_310","2021","SL18-OI-11-FG3xSL18-NC-2-MG1","OI x NC","ES","0","0"
