"","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD"
"SA18-CB-3-MG1",0.0559969281198367,-0.0932913609574411,0.0561182614065786,0.132103592135791,-0.0237038695317753,4.60501661005024
"SL18-OD-6-MG3",0.0182733286844868,0.370409367189781,0.0477213474395817,0.170218608771373,0.0600008952671114,-9.1412701854617
"SA18-CB-3-MG2",0.0269376963002866,0.348773546101799,-0.00794361536484973,-0.0714190530791206,-0.273449974232894,13.6580496247204
"SL18-NC-12-MG1",-0.0319166455191823,0.147132401007982,-0.0336688360437833,-0.0618521335082445,-0.014546559078199,-7.28087619556247
"SL18-JS-11-MG2",-0.0583726627629631,-0.0284052715148478,-0.10895230729105,-0.361083476719561,-0.122187987271464,-0.65193541410563
"SL18-CC-6-MG2",-0.00601784451553986,0.27338507811645,0.00771477242507994,0.104379998779531,-0.00481606320130417,-16.5224908878494
"SL18-OI-17-MG1",0.0075722957428457,-0.328901070243259,-0.00615192536135323,-0.0122247229770549,0.000364398763842869,-4.52088072727921
"SL18-CC-7-MG1",0.032748459870455,0.300955545107016,0.0628762737842986,0.246984248145471,-0.0883548945990659,7.02550383741487
"SL18-JS-6-MG1",0.0381829720818642,0.202723138139212,0.0724153551142234,0.0256469816146113,0.676799491773075,-13.9278162968978
"SL18-LD-13-MG3",-0.0252494981025483,-0.111194383993626,-0.0123287923493204,-0.0236729759943932,0.0544424555985177,4.79229464314637
"SL18-OI-16-MG2",-0.0269273662416773,-0.0579111893150181,-0.0368044309432328,-0.115187616921567,0.123220191775969,10.2565637974197
"SL18-LL-9-MG4",0.0413190826419982,0.406714524255399,0.0304168358795178,0.0515962701079894,-0.0477522448758537,26.3140101388876
"SL18-NL-7-MG2",-0.0256724330045055,0.973780531714011,-0.0399955749748924,-0.180097233149474,0.107912646629235,-23.9600910100757
"SL18-NC-11-MG2",-0.0238268548967621,-0.023013506216194,-0.0489194325285757,-0.121228240712712,-0.0348508645733383,-2.55839085832226
"SL18-LD-1-MG1",0.00458642190189659,-0.24434621742107,-0.0449198755509036,-0.206088309387286,0.192966975645418,-21.2100322148315
"SL18-OI-11-FG1",0.0156886812240176,0.140047188874577,0.0091933342570577,0.112987303353095,-0.0377199869728858,11.019677349348
"SL18-OI-17-FG2",0.0041238045273188,-0.265362969091401,-0.0279701837756674,-0.178424160976768,-0.0404793331359205,-24.1754323828062
"SL18-OI-18-FG3",-0.00127094120856165,-0.110767277968626,-0.00630577142747128,-0.0482269120383588,0.145194148236574,-37.7546020844643
"SL18-OI-18-FG5",0.00848873113088399,-0.0742305170048554,0.00926691324554901,-0.0628106386991663,0.235367161841429,-30.4769746903014
"SL18-OI-18-FG6",-0.007947856505742,-0.306333367120524,-0.00577566251197911,-0.0260245724683072,0.118953675539003,-16.1497913196993
"SL18-OI-7-FG3",0.0424423079643169,-0.0827917347834547,0.00840534940905041,0.00248470808667502,-0.0213644584362079,25.6014942326085
"SL18-SF-17-FG1",0.0168734912603996,-0.007407802348113,0.00637993753598127,0.00934704078089267,0.00816477177436654,-8.66452678401745
"SL18-SF-17-FG3",0.0055038844648258,-0.105750306680347,0.0004983902893278,0.0467145697232537,-0.0515483967420718,17.0029179184397
"SA18-CB-10-FG2",0.0893491068883898,-0.268695414377616,0.0692823697148454,0.170546013630599,-0.0297880484881901,-6.32597523053755
"SL18-LD-1-FG3",0.00959956245182165,-0.119961352891441,-0.0443904173816157,-0.238213301148022,0.187972330767856,-15.3295547853453
"SL18-LD-4-FG1",0.011745184329036,0.0213912713306263,-0.0205733303896158,-0.04947435495184,0.020435713475554,5.81210543849371
"SL18-LD-4-FG2",0.0117451516910048,0.0213908572245466,-0.0281916620015333,-0.147494482230299,0.0979971010942102,-12.3760330847793
"SL18-LD-5-FG1",-0.0138009248639864,-0.0703331550107592,-0.0453869019679412,-0.113918297434539,0.00579776181628998,-20.7022371398274
"SL18-NL-10-FG3",-0.0156928671570287,0.194096356165907,-0.039261225193153,-0.223817196944623,-0.0184473796427846,-6.32616279097739
"SL18-NL-3-FG2",-0.0135597423124672,0.895975055591466,0.0104229415415582,0.133919593140984,-0.113188553977586,12.4768338384539
"SL18-OI-5-FG5",-0.0344747184531616,-0.404014094123027,-0.100363348757043,-0.376914410775098,0.137787131827568,-11.472181856651
"SL18-NC-11-FG1",-0.043059980213858,0.0818730303109227,-0.0748004034221695,-0.159655114290353,-0.033174312924314,-11.3071485022687
"SL18-CC-11-FG3",0.110794372059082,0.615872245862421,0.151349710904586,0.485835249162208,-0.123944418637647,67.5708479873733
"SL18-CC-1-FG3",-0.0160976601180375,0.805459281773782,-0.0310286887964334,-0.105922865659197,0.0476363433490733,-0.129992827416589
