,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
2020_153,-2.246582759,1.561834592,-0.263088975,-23.1828638,SL18-JS-16-FG1xSL18-LD-2-MG2,264.7320037,-36.20519734,-21.35229347,49.0300703,-55.17375153
2020_154,-3.761533131,-2.276869479,-0.464532102,-53.55142893,SL18-NC-10-FG1xSL18-NC-5-MG1,-32.14672197,43.74481797,-31.62568746,-81.11132194,-200.7648779
2020_156,6.769983938,-0.575625629,0.68174085,27.43141141,SL18-OI-17-FG4xSL18-JS-6-MG2,167.9304255,-38.79425224,17.50527934,-44.71162219,265.1700894
2020_157,-3.120251492,0.500115232,-0.370809134,-73.32218755,SL18-CC-1-FG2xSL18-OI-16-MG3,81.86933896,27.86451754,-22.9320365,-89.41452326,-193.9207136
2020_158,-0.906071942,1.587760115,-0.073172881,17.79176437,SA18-CB-2-FG3xSL18-OI-2-MG2,-131.9032829,37.48328841,8.817409735,-55.70382092,30.28078142
2020_159,-2.236611029,-0.027554067,-0.271057727,-93.56973242,SL18-CC-5-FG3xSL18-JS-19-MG2,-274.7950259,-41.949142,27.07756669,65.17597567,16.3792435
2020_160,11.84069565,2.083123131,1.6738103,119.0294887,SL18-CC-3-FG2xSA18-CB-10-MG3,31.4309164,75.54466132,28.67952545,-59.39404573,41.46472546
2020_162,-2.512989322,2.251022304,-0.303325851,-114.330719,SL18-CC-1-FG1xSL18-OI-16-MG3,259.6123896,-40.21209257,11.8558057,-89.61392595,-90.94818373
2020_163,-2.481441999,3.194665284,-0.288865738,-33.3519448,SL18-JS-16-FG3xSL18-OD-6-MG2,10.85761249,26.04411852,8.494316387,-11.09364894,-57.54477859
2020_169,4.75359402,0.169494284,0.553318431,169.3311323,SL18-OI-4-FG2xSL18-NC-15-MG1,-372.2823296,33.55563049,31.4370666,-10.03427448,287.4901999
2020_170,-1.624947359,-1.695490175,-0.216492396,-43.24170053,SL18-NC-12-FG2xSL18-OI-16-MG1,71.81409845,64.5273773,-4.320549453,35.51464125,-113.0176528
2020_172,8.079247996,0.95767224,1.016799493,78.22848964,SL18-CC-8-FG2xSL18-JS-5-MG3,-111.0006141,-77.33985222,31.11545068,-4.652126887,112.9635317
2020_174,-1.538040347,0.096778213,-0.208300356,-23.14666659,SL18-OI-4-FG2xSL18-JS-19-MG2,194.0779679,-56.86883888,-6.257862445,39.09656191,4.50473469
2020_176,12.20633998,1.234974643,1.677712578,66.10317916,SL18-OI-6-FG2xSA18-CB-4-MG2,-306.5372422,-13.30254743,10.4056009,-44.90313318,126.9524607
2020_179,5.645055624,-1.57465866,0.537499228,-4.802325152,SL18-CC-3-FG1xSL18-JS-5-MG2,163.6309211,-15.69667548,14.47615638,-52.18982252,84.5685299
2020_180,3.065231745,0.395632374,0.426222875,65.87000093,SL18-CC-3-FG2xSL18-OD-6-MG1,15.43935198,-45.16964607,23.29911802,-90.2446553,126.502068
2020_181,-3.272603296,-2.600801138,-0.392811848,-126.5912256,SL18-LD-2-FG2xSL18-SF-19-MG1,216.1258941,-12.8201537,-10.17714625,6.117267906,-106.6021651
2020_182,-1.799869192,2.805807156,-0.142523747,-75.94353441,SL18-LD-13-FG2xSA18-CB-7-MG1,-77.74757495,-79.59949164,4.071402969,-91.34308137,176.9765695
2020_185,4.229155763,2.291545609,0.74526533,66.37134133,SL18-OI-6-FG2xSL18-LD-2-MG2,217.2130737,26.5039519,-0.938717968,-4.637130405,51.7420181
2020_186,-2.554434775,0.309739232,-0.240043309,25.85588949,SL18-CC-12-FG3xSL18-OI-15-MG3,-596.5198853,-40.87805422,3.994207775,54.20034158,32.75738849
2020_189,4.417588833,-3.642863489,0.313129591,137.2733821,SL18-CC-11-FG3xSL18-NC-2-MG3,184.9310587,-25.17638304,13.2307932,-82.75411358,176.7787166
2020_190,4.888671509,-0.758234205,0.590863332,-24.78842531,SL18-CC-12-FG2xSL18-OI-15-MG2,-230.4171605,-51.38049653,23.52561813,0.956924656,167.7228301
2020_191,-1.578385014,1.617469185,-0.102897965,-106.019721,SL18-SF-17-FG2xSA18-CB-1-MG13,-449.3851377,-73.39974433,9.45544046,-58.61526698,107.5335086
2020_2,-2.427646914,-2.321503319,-0.318554459,-136.8813886,SL18-SF-17-FG2xSL18-OI-4-MG3,58.97331005,-61.72927032,-22.86063113,19.59728048,74.36359007
2020_20,-3.1619132,-2.50321037,-0.34848792,-35.10516373,SL18-NC-10-FG3xSL18-NL-5-MG2,84.52389538,25.13490193,-23.59284204,-6.13647014,-144.6588329
2020_201,-0.14614933,-1.534099917,-0.02874055,15.60085883,SL18-CC-8-FG2xSL18-LD-9-MG1,104.8948419,-28.37892163,4.579524275,-62.07263653,133.7257321
2020_205,1.768966633,-0.125733485,0.174556389,-14.81438762,SL18-NL-3-FG3xSL18-NC-9-MG2,-363.6942615,-55.74002822,13.87956556,-70.87073717,155.3913267
2020_206,5.736529617,-1.116636674,0.551796786,177.6340086,SL18-OI-6-FG3xSL18-CC-11-MG5,-207.6514249,-62.49775748,15.29480211,86.56195527,254.798668
2020_207,-3.015139656,-3.010362768,-0.401850251,-75.58756538,SL18-CC-8-FG1xSL18-OI-7-MG1,78.01592878,-40.66509371,10.34470761,75.67352667,0.224214276
2020_208,-3.674655403,-0.88542593,-0.458436121,-116.1030172,SL18-JS-5-FG1xSL18-OI-14-MG1,46.56065342,73.48854828,-36.41643261,-59.28305168,-193.35276
2020_210,-2.840617996,0.393731204,-0.36234196,-65.45690913,SL18-NC-10-FG1xSL18-OI-11-MG4,-110.1460108,6.819579707,4.432726402,5.859407408,-73.88056759
2020_213,1.828385842,-0.732030761,0.166929711,35.82816734,SL18-SF-17-FG2xSA18-CB-7-MG2,66.11199939,120.8697307,-6.113321077,-64.31941301,61.31246227
2020_215,-2.195021913,0.053937606,-0.343226154,-75.72736109,SL18-CC-9-FG3xSL18-JS-9-MG3,1.265904127,41.52994068,-18.90159785,26.67169543,-30.34964823
2020_219,-1.102695821,0.076472793,-0.131744982,56.00613838,SL18-CC-5-FG2xSL18-NC-10-MG2,59.97091787,-66.63430015,21.01873864,121.1946888,19.7678358
2020_220,4.317571148,-0.380379625,0.539021214,46.04854532,SL18-OI-11-FG3xSL18-NC-2-MG1,-8.615699928,-45.9224385,14.466701,-14.82887486,287.4099079
2020_221,-2.795341771,2.855697342,-0.292585985,-24.85225053,SL18-NC-9-FG2xSL18-JS-11-MG3,-110.6055369,-40.50107391,-5.879048108,58.26818056,3.061918413
2020_224,0.08968928,-0.246933152,0.030476676,86.56328581,SL18-LD-9-FG4xSL18-OI-6-MG2,-106.0680719,41.23642293,-20.63822138,-86.82747725,-23.16863256
2020_226,0.040200924,-0.128504017,-0.110168184,-4.592267146,SL18-CC-3-FG2xSL18-OI-11-MG3,-414.3211915,-47.78386082,10.84295822,62.73647243,23.16425057
2020_228,2.88227159,3.322178217,0.449987215,-14.72183673,SL18-OI-9-FG4xSA18-CB-1-MG12,-229.0007421,-76.41220611,27.90684533,92.49152587,73.51322319
2020_23,-1.900887491,0.670702582,-0.214102808,15.60978914,SL18-CC-3-FG2xSA18-CB-4-MG2,56.56384014,84.71980601,8.187725197,-26.71604113,-83.24214907
2020_232,-3.535101371,-2.170573155,-0.446197338,-116.1547693,SL18-NC-5-FG2xSL18-JS-11-MG3,29.35543825,105.2462353,-25.96433539,-103.6627584,-152.6824639
2020_233,-0.857324248,1.847325319,-0.128259133,46.12121762,SL18-CC-8-FG1xSL18-OI-18-MG3,22.26890179,-67.64448542,3.93553555,70.74561922,3.080055957
2020_235,-1.919417463,-1.455027062,-0.318192762,-34.9846438,SL18-CC-6-FG3xSL18-JS-9-MG2,57.32392177,60.81705937,-13.11206745,-96.0123379,-149.9395195
2020_24,-2.905863867,0.571438921,-0.345237265,-14.83412156,SL18-NL-7-FG4xSA18-CB-1-MG12,226.7118855,8.928853666,-7.376764033,-53.36095779,-86.5179051
2020_240,2.302821626,0.664095018,0.301161549,736.0055145,SL18-CC-1-FG1xSL18-NC-15-MG3,291.1602581,-65.29596883,21.59272279,-57.86477955,145.3504959
2020_244,-0.788816051,-0.372821088,-0.102571934,6.05276173,SL18-CC-1-FG1xSL18-CC-4-MG11,163.4168575,-25.91827064,0.293607299,-11.50426901,-9.342704962
2020_246,-1.936816667,1.103235822,-0.237917236,56.24201898,SL18-CC-5-FG2xSL18-NC-9-MG2,329.9628948,-46.21702293,24.92992819,11.58107241,-45.69066465
2020_248,3.035722693,1.775396432,0.425619452,-4.589668444,SA18-CB-9-FG1xSL18-JS-19-MG1,-137.8178965,60.26784521,16.09426081,120.16846,50.21444705
2020_249,-2.795233988,0.519227423,-0.349983172,-35.00551216,SL18-NL-3-FG1xSL18-OD-3-MG1,-76.95498916,62.14147926,-18.41346048,-7.616697773,-143.2323823
2020_25,-1.293714264,-1.424863594,-0.175394478,-65.57397273,SL18-CC-5-FG3xSA18-CB-1-MG12,-122.32821,20.63724906,2.86004761,98.09435796,-46.22610592
2020_250,-3.266316664,-3.326412791,-0.41836446,-35.00551216,SL18-CC-8-FG2xSL18-NC-5-MG3,151.7949583,127.3023077,-28.64535965,16.18053818,-110.9366906
2020_255,-2.768552695,1.139677945,-0.283871417,-126.3174759,SL18-CC-6-FG3xSL18-OI-14-MG2,329.1256386,-70.2988322,4.909083433,5.470940219,-46.39677032
2020_258,-0.141853425,1.773808234,-0.033010009,76.29699622,SL18-NC-12-FG2xSA18-CB-3-MG1,-214.8121644,-92.5868615,15.37890492,98.04135855,-35.34458089
2020_259,1.941657455,-0.466606621,0.154448358,-25.10177413,SL18-CC-3-FG3xSL18-OD-6-MG3,252.7451295,27.85109055,29.45568298,-108.7624305,169.9343025
2020_26,-1.272777256,-1.943240491,-0.182989854,-4.686151329,SL18-CC-6-FG2xSL18-OI-14-MG1,14.18113476,-98.43295054,1.891378958,22.36670009,89.17181
2020_260,-2.609701263,-1.765397841,-0.38593792,-25.10177413,SL18-JS-19-FG3xSA18-CB-3-MG2,193.207924,38.77163025,-8.33576992,54.64056336,-78.0242676
2020_261,NA,NA,NA,86.43687326,SL18-NC-12-FG2xSL18-NL-5-MG2,NA,NA,NA,NA,NA
2020_263,-3.128809023,-2.967775685,-0.409301788,-14.42195362,SL18-JS-5-FG1xSA18-CB-1-MG12,-95.45814322,79.15696477,-30.21307137,0.700375813,-163.620631
2020_264,-2.898006539,-2.277633,-0.382594025,-24.56037705,SL18-JS-16-FG3xSA18-CB-4-MG3,-59.67016797,55.72134174,-4.250144991,-20.58900867,-58.88356496
2020_265,8.747027886,5.291673874,1.573119695,482.3607944,SL18-OI-4-FG2xSA18-CB-7-MG2,-180.6088429,-80.10111353,32.37070891,-91.75352395,214.951054
2020_268,-2.590921475,-1.795653497,-0.376844219,15.69704652,SL18-NC-1-FG1xSL18-NC-12-MG3,299.4043375,-31.51188106,-14.92852578,-78.62864382,-161.3465873
2020_271,-2.611903519,-1.539632823,-0.376104832,-65.41034092,SL18-NC-15-FG3xSL18-CC-1-MG2,105.5059204,65.15073327,-31.39260098,-74.78698434,-177.743819
2020_272,0.913079874,0.118935889,0.038808722,46.1123168,SL18-SF-17-FG2xSL18-NC-12-MG1,-134.2135475,-28.80212767,14.76334949,-33.55148658,277.4268144
2020_275,-3.914424095,-3.34637116,-0.410211788,96.94810008,SL18-NL-3-FG1xSA18-CB-7-MG2,287.8885279,-57.92792574,-14.05062702,-74.39118599,-240.6234033
2020_277,-4.207733879,-0.518691048,-0.427910166,-85.55861514,SL18-LL-9-FG2xSA18-CB-5-MG3,122.9861501,-24.60885904,-16.97745228,-23.38465587,-174.3629542
2020_278,10.51844011,0.147287666,1.300480352,157.7836718,SL18-SF-17-FG2xSA18-CB-7-MG3,-213.3982513,86.17703774,29.72668459,120.2337309,234.1020193
2020_279,4.994859875,1.811860365,0.720296323,-35.11922014,SA18-CB-4-FG6xSL18-JS-6-MG3,131.1440553,71.15176696,38.06121542,79.83254233,99.39687849
2020_283,-3.480854299,-0.611367492,-0.411510717,-156.7780123,SL18-CC-3-FG1xSL18-JS-11-MG2,21.31740426,46.49367614,-15.72099219,-135.2407732,-167.5628426
2020_290,-0.404820817,1.969714462,0.0868266,-115.8953931,SA18-CB-5-FG6xSL18-CC-6-MG2,-100.4295766,18.35369135,23.20237511,111.6841422,-26.47753037
2020_30,-3.115407787,0.273110447,-0.326129827,-136.1668367,SL18-JS-19-FG3xSL18-OI-17-MG1,54.57546808,-14.34674411,-16.32442451,29.04535007,-80.87471927
2020_34,3.317950614,-2.21749656,0.27162865,66.41381167,SL18-OI-17-FG4xSL18-CC-7-MG1,-64.58240688,-32.41705819,10.69126086,-25.43851627,225.2721783
2020_35,-2.392114891,-0.028027273,-0.297269364,-35.06181626,SL18-OI-17-FG1xSL18-OI-4-MG1,77.20599826,90.87525089,-5.96754313,-55.26278536,-41.66734862
2020_42,0.052754717,-3.485511533,-0.029398983,-25.1200095,SL18-CC-6-FG2xSL18-OI-11-MG4,-108.0625806,-26.1050622,-1.129128133,20.28587907,-10.73131747
2020_43,-2.832276335,-2.694311203,-0.351357815,-136.7454389,SL18-JS-9-FG3xSA18-CB-10-MG1,-201.3542295,56.2475045,-16.18097817,-144.5999989,-123.5824133
2020_44,-1.97201253,24.29564934,0.141773393,-116.4499062,SL18-OI-6-FG3xSL18-JS-6-MG1,-192.9758364,23.71031138,0.511032887,-72.7310458,51.55286185
2020_45,3.242188105,-0.902431781,0.386134494,86.67526221,SL18-SF-13-FG2xSL18-JS-11-MG3,-382.9890349,-17.59253153,19.14839861,82.83437618,312.6803284
2020_46,-2.036730649,0.790456842,-0.212214267,-106.1284309,SL18-JS-19-FG3xSL18-LD-13-MG3,315.4880985,-47.47814908,-4.450946287,-24.78512994,34.38697905
2020_53,10.19217163,-2.832731879,0.957456807,-24.95107362,SA18-CB-2-FG3xSL18-CC-2-MG5,106.6405715,101.8547323,3.897582525,-52.51739173,55.35982261
2020_56,3.358330472,2.425584786,0.64371123,15.6759977,SA18-CB-9-FG1xSL18-OI-7-MG3,46.90250435,42.37587224,4.664385046,89.67386428,-46.42380426
2020_57,-1.931104056,3.633178671,-0.143398292,15.6759977,SL18-CC-3-FG1xSL18-OI-16-MG2,-171.561265,-38.21283699,-13.67741207,46.13843793,-110.8965989
2020_58,-3.374694804,0.135785473,-0.438166626,-74.85558516,SL18-CC-8-FG1xSL18-NC-8-MG2,119.7911841,111.5972221,-30.90036822,-130.5260019,-134.5796032
2020_63,5.795060481,-0.213786386,0.649643016,36.67792441,SL18-SF-13-FG2xSA18-CB-2-MG3,-388.141621,-67.35084795,25.11094304,-13.70183575,267.7160612
2020_66,0.615922594,0.005691024,0.059375544,107.7003991,SL18-SF-13-FG2xSL18-JS-9-MG2,-112.3390183,5.849214186,5.843524985,-53.97540586,204.7791944
2020_67,-2.101252105,0.718393614,-0.258224216,-95.09164731,SL18-JS-19-FG2xSA18-CB-10-MG3,84.49160171,-18.19747568,-2.291558166,15.9194606,-128.8254545
2020_68,-3.192318393,-1.631297736,-0.404003509,16.44397822,SL18-CC-6-FG1xSL18-JS-5-MG2,198.6739718,127.4418242,-29.41949442,68.51559758,-141.5971176
2020_77,4.984600311,-1.457853847,0.521567153,300.5565315,SL18-CC-12-FG2xSL18-LL-9-MG4,-309.4603517,-88.91391499,15.10629157,65.40992042,216.9077141
2020_78,-1.619306018,-3.352307793,-0.200104436,-44.20853989,SL18-NL-3-FG1xSL18-OI-7-MG3,216.9141404,72.50903935,-6.143391561,-12.45559639,6.802764753
2020_85,-2.324761356,0.979889621,-0.240502879,-64.73255172,SL18-NL-5-FG1xSL18-OI-14-MG1,265.7265407,23.19060314,-3.191448172,28.05430627,-54.97487016
2020_87,-2.581941785,5.32084072,-0.2557715,-74.91857826,SL18-NC-8-FG1xSL18-NL-7-MG2,414.8016954,-80.65969549,-12.22256612,-19.72127868,-126.2453938
2020_88,-3.282760083,0.07114658,-0.405796112,-85.05892279,SL18-JS-5-FG2xSL18-OI-5-MG3,287.2726462,26.44302825,-14.97512129,51.38601984,-130.537982
2020_90,1.16591259,2.06016113,0.258519631,-14.07651113,SL18-CC-10-FG4xSL18-NC-2-MG2,-226.0292076,31.75132651,11.52172703,118.6929283,92.04841765
2020_91,-3.216549092,-1.411344855,-0.299160531,67.61423531,SL18-NC-5-FG3xSL18-OI-2-MG2,203.8185022,4.961135577,-24.1400471,40.77147206,-204.9705781
2020_92,-3.894195834,-0.615322487,-0.363871536,-23.65683546,SL18-OI-16-FG2xSL18-OI-18-MG1,293.4943122,13.06845637,-6.428254202,54.48994416,-141.2526194
2020_93,-2.437761045,-1.067118966,-0.206766774,27.04931497,SL18-CC-1-FG2xSL18-NC-11-MG2,-37.78230557,-6.056505497,-8.000306826,46.27888787,-97.59594292
2020_95,-2.781641481,-0.540023074,-0.233480139,47.33177514,SL18-CC-12-FG3xSL18-NC-11-MG2,257.7472539,11.82117625,-13.86930329,-19.10915797,-154.9732891
2020_96,-1.641566205,3.412921713,-0.176482396,-85.09346309,SA18-CB-7-FG1xSL18-LD-1-MG1,-321.5256602,-83.92322204,5.092300265,-164.3509298,79.52404935
2020_99,-2.910979867,-12.02154374,-0.438852054,-14.11624685,SL18-NC-10-FG3xSA18-CB-3-MG2,90.7754157,111.9386927,-27.65228486,4.836643959,-163.8610995
