,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
2019_155,-0.415527115,-0.097101611,0.039177538,40.78362041,SL18-OI-18-FG5xSL18-LD-2-MG1,-112.7801128,-10.02587102,-11.22173322,-43.41629814,-47.58659614
2019_157,1.908167297,1.095060586,0.270817138,-28.23433238,SL18-OI-18-FG5xSL18-SF-15-MG2,5.05411412,12.52440821,-1.08123808,-9.622169319,134.1649679
2019_158,1.64304837,-1.938938318,0.057499369,30.08568393,SL18-OI-18-FG6xSA18-CB-1-MG2,-98.69976847,38.82482675,15.25313367,75.59668515,-49.53493882
2019_159,-1.497242397,0.611695108,-0.090690645,-5.827776409,SL18-OI-18-FG6xSL18-NL-6-MG1,276.5942643,-134.2041287,-25.49163354,-197.4604543,-58.36791983
2019_162,-2.055113971,0.770519481,-0.139707702,-222.3396265,SL18-OI-2-FG2xSL18-LD-1-MG2,28.68297726,-43.70791408,-13.11116725,35.4176062,46.09549056
2019_17,-1.340313988,-0.589848747,-0.080861021,91.71206494,SL18-LD-1-FG1xSL18-NL-2-MG2,-52.29881569,-14.036087,-14.30231545,-16.43553369,-81.7577812
2019_170,-2.072832951,3.063770691,-0.145608874,-87.31997038,SL18-OI-2-FG3xSL18-NL-9-MG1,108.7566775,-35.80289989,-32.34278668,36.42463226,-114.3264499
2019_172,-1.35307463,0.51059909,-0.071029369,-245.7881888,SL18-OI-2-FG3xSL18-SF-17-MG1,56.24100362,-7.193121351,-2.614169846,6.556265332,-55.35410814
2019_174,-1.936634284,3.624641678,-0.138945082,-174.4446419,SL18-OI-6-FG1xSA18-CB-2-MG1,83.24344719,75.65704022,3.617728354,89.29258975,5.879998438
2019_175,0.605604602,-2.280261067,-0.015043973,-50.13947368,SL18-OI-6-FG1xSA18-CB-4-MG1,-95.56960488,20.43793041,-8.873632492,-38.47507602,-39.4333618
2019_176,-0.964435126,0.64403691,-0.086997018,-73.8209708,SL18-OI-6-FG1xSL18-LD-13-MG2,-92.7389878,-45.4066247,0.84726502,-56.62245126,-141.0467774
2019_177,-0.343680543,0.621158049,0.002644172,-83.80676232,SL18-OI-6-FG1xSL18-LD-2-MG1,57.93706561,-28.86444389,1.856985833,-62.4976244,34.41020541
2019_178,0.353237128,-4.940989877,-0.091504016,13.30687267,SL18-OI-6-FG1xSL18-LD-5-MG1,-128.4127564,-36.72995215,-7.479949358,1.060604556,-4.51679713
2019_18,-1.373648818,0.531083163,-0.070506204,91.71206494,SL18-LD-1-FG1xSL18-OI-18-MG1,172.19413,-6.958729385,-12.81389583,-40.21674876,15.68719902
2019_180,-0.954012044,1.741621188,-0.05035623,-121.4616066,SL18-OI-6-FG1xSL18-NL-9-MG1,100.8107742,-12.74920444,-2.614169846,58.32640872,-20.56957188
2019_181,0.174475442,-0.446868851,0.010031815,-46.08401106,SL18-OI-6-FG1xSL18-SF-15-MG1,118.9556612,-12.56714625,-0.700319554,-18.70891889,73.17243442
