UCONNCrossID,CrossNum.,Crosses,FG,MG,Category,"CrossingDate(Oct.6,7,8)",Crosser,CrossStatus,Notes,Check 11/2-5,Healthheck 11/2-5,Check 10/26 (1-192) 10/27(194- ),Health 10/26,Check 10/19-20,Health 10/19-20,Painting Date,SP number per 1 ml estimation on paint day,,Media Change 1,Media Change 2,Media Change 3?,Post-paint  development,Post-paint  density,Comments
GOM277,277,SL18-JS-19-FG3xSL18-CC-11-MG6,SL18-JS-19-FG3,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,3,,11/19/2020,12/3/2020,12/17/2020,LSP,HD,
GOM278,278,SL18-JS-19-FG3xSL18-OI-7-MG2,SL18-JS-19-FG3,SL18-OI-7-MG2,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,43,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM279,279,SL18-JS-5-FG1xSL18-CC-7-MG1,SL18-JS-5-FG1,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,69,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM280,280,SL18-JS-5-FG1xSL18-CC-7-MG2,SL18-JS-5-FG1,SL18-CC-7-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,85,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM281,281,SL18-JS-5-FG1xSL18-OI-18-MG3,SL18-JS-5-FG1,SL18-OI-18-MG3,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,102,,11/10/2020,11/24/2020,12/8/2020,LSP,HD,
GOM282,282,SL18-JS-5-FG1xSL18-OI-18-MG4,SL18-JS-5-FG1,SL18-OI-18-MG4,Extra,8,Michael,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,118,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM283,283,SL18-JS-5-FG1xSL18-JS-11-MG3,SL18-JS-5-FG1,SL18-JS-11-MG3,Extra,8,Michael,Y,,Painted,,SP_300,,GP,,10/27/2020,119,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM284,284,SL18-JS-5-FG2xSL18-OI-11-MG2,SL18-JS-5-FG2,SL18-OI-11-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,98,,11/12/2020,11/26/2020,12/10/2020,GP,MD,
GOM285,285,SL18-JS-5-FG2xSL18-CC-2-MG6,SL18-JS-5-FG2,SL18-CC-2-MG6,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,120,,11/12/2020,11/26/2020,12/10/2020,SP,HD,
GOM286,286,SL18-JS-5-FG2xSL18-CC-7-MG1,SL18-JS-5-FG2,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,38,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
