"","testing","Crosses","yBLUE","yPred","popChk","Year"
"89",211,"SL18-CC-3-FG1xSL18-JS-11-MG2",-0.182443294641549,0.0225373423290992,"ES",2020
"90",212,"SA18-CB-5-FG6xSL18-CC-6-MG2",0.338573749675651,0.0272422622824052,"ES",2020
"91",213,"SL18-JS-19-FG3xSL18-OI-17-MG1",-0.129762875933734,0.00614452031395045,"ES",2020
"92",214,"SL18-OI-17-FG4xSL18-CC-7-MG1",0.296569282184846,0.00733517324466928,"ES",2020
"93",215,"SL18-OI-17-FG1xSL18-OI-4-MG1",-0.261393102815155,-0.00740970254361294,"ES",2020
"94",216,"SL18-CC-6-FG2xSL18-OI-11-MG4",0.258002903833778,0.000840716861869468,"ES",2020
"95",217,"SL18-JS-9-FG3xSA18-CB-10-MG1",-0.0580589571662221,0.0462332090602151,"ES",2020
"96",218,"SL18-OI-6-FG3xSL18-JS-6-MG1",0.426040101833779,-0.00379489289544015,"ES",2020
"97",219,"SL18-SF-13-FG2xSL18-JS-11-MG3",0.620518724751483,0.00526155809672832,"ES",2020
"98",220,"SL18-JS-19-FG3xSL18-LD-13-MG3",0.0351535507514826,0.00155002387099109,"ES",2020
"99",221,"SA18-CB-2-FG3xSL18-CC-2-MG5",1.22136395662682,-0.00379003653109055,"ES",2020
"100",222,"SA18-CB-9-FG1xSL18-OI-7-MG3",0.904291217068682,-0.000888198580985467,"ES",2020
"101",223,"SL18-CC-3-FG1xSL18-OI-16-MG2",0.133503713068682,0.00448531372712306,"ES",2020
"102",224,"SL18-CC-8-FG1xSL18-NC-8-MG2",-0.110325581238326,0.00288608000848247,"ES",2020
"103",225,"SL18-SF-13-FG2xSA18-CB-2-MG3",0.956600667761675,0.00617321973593826,"ES",2020
"104",226,"SL18-SF-13-FG2xSL18-JS-9-MG2",0.407943730321982,0.00667573092871314,"ES",2020
"105",227,"SL18-JS-19-FG2xSA18-CB-10-MG3",0.0963865233219814,-0.00317561283311986,"ES",2020
"106",228,"SL18-CC-6-FG1xSL18-JS-5-MG2",-0.0466192186780184,-0.0183074977527594,"ES",2020
"107",229,"SL18-CC-12-FG2xSL18-LL-9-MG4",0.941452459961629,-0.00789696826557394,"ES",2020
"108",230,"SL18-NL-3-FG1xSL18-OI-7-MG3",0.234539667961629,-0.000203606152603432,"ES",2020
"109",231,"SL18-NL-5-FG1xSL18-OI-14-MG1",0.169256150303515,0.00385696692619975,"ES",2020
"110",232,"SL18-NC-8-FG1xSL18-NL-7-MG2",0.00424099892908451,0.0062219643221216,"ES",2020
"111",233,"SL18-JS-5-FG2xSL18-OI-5-MG3",-0.143305077070915,0.000419734292073501,"ES",2020
"112",234,"SL18-CC-10-FG4xSL18-NC-2-MG2",0.510035598929084,-0.000221506305678235,"ES",2020
"113",235,"SL18-NC-5-FG3xSL18-OI-2-MG2",-0.161954838952336,-0.0136202412561967,"ES",2020
"114",236,"SL18-OI-16-FG2xSL18-OI-18-MG1",-0.225585224952336,-0.0097834585456962,"ES",2020
"115",237,"SL18-CC-1-FG2xSL18-NC-11-MG2",-0.0711039789523363,0.00215376144863432,"ES",2020
"116",238,"SL18-CC-12-FG3xSL18-NC-11-MG2",-0.0973712539523358,8.30654803968919e-05,"ES",2020
"117",239,"SA18-CB-7-FG1xSL18-LD-1-MG1",0.196290532696597,-0.00784184654623156,"ES",2020
"118",240,"SL18-NC-10-FG3xSA18-CB-3-MG2",-0.061273585303403,0.0330310557163146,"ES",2020
"119",241,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,0.019154214879805,"Z1",2020
"120",242,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,0.00565927923297886,"Z1",2020
"121",243,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,0.00557669402625836,"Z1",2020
"122",244,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-0.00150084966409255,"Z1",2020
"123",245,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,0.00195763834366432,"Z1",2020
"124",246,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,0.000868840591684733,"Z1",2020
"125",247,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-0.000684153564171127,"Z1",2020
"126",248,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-0.00323629163968458,"Z1",2020
"127",249,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-0.00251699008055227,"Z1",2020
"128",250,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,0.00526325312992092,"Z1",2020
"129",268,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,0,"Z4",2020
"130",269,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,0,"Z4",2020
"131",270,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,0,"Z4",2020
"132",271,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,0,"Z4",2020
"133",272,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,0,"Z4",2020
"134",273,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,0,"Z4",2020
"135",274,NA,NA,0,NA,2020
"136",275,NA,NA,0,NA,2020
"137",276,NA,NA,0,NA,2020
"138",277,NA,NA,0,NA,2020
"139",278,NA,NA,0,NA,2020
"140",279,NA,NA,0,NA,2020
"141",280,NA,NA,0,NA,2020
"142",281,NA,NA,0,NA,2020
"143",282,NA,NA,0,NA,2020
"144",283,NA,NA,0,NA,2020
