,BLUE_DwPM_2Yrs,Rank_2Yrs,BLUE_DwPM_2019,Rank_2019,BLUE_DwPM_2020,Rank_2020,BV_DWpM,Rank_BV,,,,
SL18-NC-10-FG3xSL18-NL-5-MG2,-0.000475632,92,NA,NA,-1.23,105,-0.133128231,233,,,,
SL18-CC-6-FG3xSL18-JS-9-MG2,-0.105662681,128,NA,NA,-1.24,106,-0.198563966,240,,,,
SL18-JS-16-FG3xSL18-NC-10-MG3,0.081228695,67,NA,NA,-1.24,107,-0.179784586,239,,,,
SL18-SF-17-FG2xSL18-OI-4-MG3,-0.0705632,115,NA,NA,-1.24,108,-0.010312829,123,,,,
SL18-CC-8-FG2xSL18-NC-5-MG3,-0.196100125,164,NA,NA,-1.25,109,-0.086026981,197,,,,
SL18-JS-16-FG3xSA18-CB-4-MG3,-0.220389804,176,NA,NA,-1.26,110,-0.108582106,217,,,,
SL18-JS-5-FG2xSL18-OI-5-MG3,-0.143305077,144,NA,NA,-1.27,111,-0.135504956,234,,,,
SL18-LD-13-FG2xSL18-LD-13-MG2,-0.037731869,106,0.0490,20,-1.28,112,-0.094202272,206,,,,
SL18-NC-5-FG3xSL18-OI-2-MG2,-0.161954839,153,NA,NA,-1.28,113,-0.127738829,228,,,,
SL18-JS-5-FG1xSA18-CB-1-MG12,-0.246608951,186,NA,NA,-1.29,114,-0.135735004,235,,,,
SL18-NC-10-FG1xSL18-NC-5-MG1,-0.412709571,244,NA,NA,-1.32,115,-0.216109307,241,,,,
SL18-CC-8-FG1xSL18-NC-8-MG2,-0.110325581,131,NA,NA,-1.32,116,-0.231369221,242,,,,
SL18-OI-17-FG1xSL18-OI-4-MG1,-0.261393103,193,NA,NA,-1.34,117,-0.039037625,156,,,,
SL18-JS-9-FG3xSA18-CB-10-MG1,-0.058058957,111,NA,NA,-1.34,118,-0.037376686,154,,,,
SL18-OI-16-FG2xSL18-OI-18-MG1,-0.225585225,177,NA,NA,-1.34,119,-0.085437929,195,,,,
SL18-CC-6-FG1xSL18-JS-5-MG2,-0.046619219,110,NA,NA,-1.36,120,-0.116437049,220,,,,
SL18-NL-3-FG1xSA18-CB-7-MG2,-0.075445765,117,0.1647,5,-1.37,121,0.034179693,72,,,,
SL18-LL-9-FG2xSA18-CB-5-MG3,-0.142672501,142,NA,NA,-1.38,122,-0.126427909,227,,,,
SL18-NC-10-FG3xSA18-CB-3-MG2,-0.061273585,113,NA,NA,-1.38,123,-0.121152091,225,,,,
SL18-NC-15-FG3xSL18-CC-1-MG2,-0.365739017,230,NA,NA,-1.40,124,-0.084828276,194,,,,
SL18-NC-1-FG1xSL18-NC-12-MG3,-0.36646432,231,NA,NA,-1.40,125,-0.138072335,236,,,,
SL18-NL-10-FG1xSL18-OI-15-MG1,0.055562698,74,0.2114,1,NA,NA,0.038192976,67,,,,
SL18-NL-6-FG1xSL18-OI-14-MG2,0.105602291,60,0.2114,2,NA,NA,0.087699989,39,,,,
SL18-LD-1-FG2xSA18-CB-4-MG3,0.004397371,89,0.1947,3,NA,NA,-0.012158044,126,,,,
SL18-NL-6-FG1xSL18-OI-15-MG1,0.081872112,66,0.1782,4,NA,NA,0.114897633,30,,,,
SL18-NL-6-FG1xSL18-SF-17-MG1,0.09220011,63,0.1590,7,NA,NA,0.073148492,46,,,,
SL18-NL-6-FG1xSA18-CB-7-MG2,0.124993451,59,0.1446,8,NA,NA,0.173276239,18,,,,
SL18-OI-15-FG1xSL18-SF-15-MG1,0.04788595,76,0.1302,9,NA,NA,0.073641556,45,,,,
SL18-OI-18-FG5xSL18-SF-15-MG2,-0.009293215,96,0.1215,10,NA,NA,0.054010244,54,,,,
SL18-OI-18-FG6xSA18-CB-1-MG2,0.022448227,84,0.1211,11,NA,NA,0.018786924,89,,,,
SL18-OI-17-FG1xSL18-SF-13-MG2,0.018107922,87,0.0949,12,NA,NA,0.053045879,58,,,,
SL18-NL-6-FG1xSL18-NL-2-MG1,-0.007551773,95,0.0911,13,NA,NA,-0.003075874,116,,,,
SL18-NL-6-FG1xSL18-OI-16-MG1,0.02220011,85,0.0890,14,NA,NA,0.008570403,101,,,,
SL18-OI-16-FG3xSL18-SF-17-MG2,-0.034397709,105,0.0714,15,NA,NA,0.011163537,99,,,,
SL18-LD-10-FG2xSA18-CB-7-MG2,0.044993451,77,0.0646,16,NA,NA,0.103668067,34,,,,
SL18-OI-16-FG3xSA18-CB-4-MG3,-0.085563036,119,0.0547,17,NA,NA,-0.022876042,140,,,,
SL18-NL-2-FG1xSL18-SF-17-MG1,-0.085563036,120,0.0547,18,NA,NA,0.025607934,82,,,,
SL18-ME-1-FG1xSL18-ME-1-MG1,-0.274473041,197,0.0509,19,NA,NA,NA,NA,,,,
SL18-NL-6-FG1xSA18-CB-3-MG3,0.018147516,86,0.0449,21,NA,NA,0.128364257,29,,,,
SL18-OI-18-FG5xSL18-LD-2-MG1,-0.0987171,126,0.0344,22,NA,NA,-0.018821302,131,,,,
SL18-OI-16-FG3xSL18-LD-3-MG2,-0.134437302,139,0.0214,23,NA,NA,-0.03788938,155,,,,
SL18-NL-3-FG2xSL18-SF-17-MG2,-0.0226914,100,0.0151,24,NA,NA,0.040575459,66,,,,
SL18-OI-18-FG2xSA18-CB-7-MG1,-0.005006549,94,0.0146,25,NA,NA,0.062584476,51,,,,
SL18-LD-1-FG3xSL18-OI-6-MG2,-0.087551773,121,0.0111,26,NA,NA,0.027592098,78,,,,
SL18-NL-6-FG1xSL18-LD-3-MG2,-0.098965217,127,0.0023,27,NA,NA,0.036306676,70,,,,
SL18-OI-6-FG1xSA18-CB-4-MG1,-0.1394005,141,-0.0036,28,NA,NA,-0.022373518,138,,,,
SL18-LD-1-FG3xSL18-OI-15-MG1,-0.107551773,129,-0.0089,29,NA,NA,0.014843123,94,,,,
SL18-NL-9-FG2xSL18-SF-19-MG1,-0.180565827,159,-0.0103,30,NA,NA,-0.075983301,186,,,,
SL18-LD-3-FG2xSA18-CB-2-MG3,-0.1494005,148,-0.0136,31,NA,NA,-0.003990735,117,,,,
SL18-NL-10-FG1xSL18-OI-7-MG1,-0.076855276,118,-0.0201,32,NA,NA,0.00218213,114,,,,
SL18-SF-17-FG3xSA18-CB-3-MG3,-0.1594005,152,-0.0236,33,NA,NA,0.075452287,44,,,,
SL18-NL-10-FG1xSA18-CB-4-MG3,-0.215602629,174,-0.0253,34,NA,NA,-0.02538475,143,,,,
SL18-LD-1-FG2xSL18-SF-13-MG3,-0.1587171,151,-0.0256,35,NA,NA,-0.035676589,153,,,,
SL18-NL-2-FG3xSL18-OI-16-MG1,-0.145014653,146,-0.0336,36,NA,NA,-0.111537648,218,,,,
SL18-LD-1-FG3xSL18-OI-11-MG2,-0.111892078,132,-0.0351,37,NA,NA,-0.056091224,170,,,,
SA18-CB-7-FG1xSL18-LL-9-MG3,-0.04,108,-0.0400,38,NA,NA,0.06292085,50,,,,
SL18-NL-2-FG1xSL18-LD-13-MG2,-0.153710552,150,-0.0402,39,NA,NA,-0.02450912,141,,,,
SL18-SF-13-FG1xSL18-LL-9-MG3,-0.210565827,171,-0.0403,40,NA,NA,-0.0348983,151,,,,
SL18-LD-1-FG2xSL18-SF-15-MG1,-0.065006549,114,-0.0454,41,NA,NA,0.037907006,69,,,,
SL18-LD-1-FG3xSL18-OI-9-MG3,-0.132545225,138,-0.0535,42,NA,NA,-0.025863615,145,,,,
SL18-LD-5-FG1xSA18-CB-10-MG1,-0.1994005,167,-0.0636,43,NA,NA,0.049343233,60,,,,
