"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"SL18-NL-9-FG2",115.61930234596,-136.447764819283,-258.480422690318,-42.064298631365,-71.6644946611082,-4.25160766754601,51.1563163457317,-31.4286445054443,3.43410698118383,-104.446372842809,-6.78070819728593,1.30740625062713,8.8520979639148,-40.1826504976451,145.120334493628,-24.9637606630693,73.3704993627864,45.5134225917011,21.2463100823931,-1.32478703343365,-43.274911479491,-68.8581353000835,-99.250784236234,152.366879212622,-44.8688595462515,45.0197985519916,167.699542350411,136.114270105861,16.7430630572944,3.22370974079282
"SL18-NC-15-MG4",-140.094888466299,360.609843579254,-277.361526734768,-73.1833175085115,-215.463664475371,-147.607124573662,93.1409356229193,392.23588239471,177.155580593506,144.234505262435,146.401143640786,94.2198098747636,4.95513066300661,-71.6711285536792,1.300991525755,8.82787168248329,-18.7811263079706,3.43150600177862,20.889885025213,6.43403050960724,-12.336845607929,66.803287431801,-66.7093660342772,0.554725162681256,6.04741379242111,0.396594946669432,0.340457368826987,-34.5208940116528,-10.4260850923883,-28.382290791393
"SL18-SF-13-FG1",-130.147136241497,-73.993141863647,515.722586309102,-281.283473307496,-181.738389995326,-204.64150618602,217.604364686546,-94.9642671126444,-5.06492239790653,-98.8334780151279,-39.5575893017476,39.3431578145462,17.1976192148543,-46.1071966046445,65.7699632362714,-19.5264272003763,-29.7285603985682,-7.94751384018708,19.7243431063953,136.768339287634,114.19329536662,-15.7959941384937,-119.356396634229,2.11939976620017,57.312365908407,-67.6257466701386,1.75199721124819,22.4782534875351,68.6975966579836,-14.094669907216
"SA18-CB-9-FG1",467.320325189699,-202.816234823236,-53.8313988833777,39.1247494433622,-27.1156834921352,-44.1167524388771,5.62290839073189,28.6925038993156,-11.6456588141589,-5.30801124557976,20.0298829217467,40.8363814844168,16.4488813839932,-33.0227686009181,28.9600947205235,-1.56395567756461,18.1154045816047,20.0266408947908,34.2226621126751,-28.6936184876792,-10.7434275992182,15.5867228165254,-6.05287008850021,22.7870873939982,16.2604240204101,6.853458224477,-12.997261338659,3.7912789889961,0.416448235965192,-14.8633778992689
"SL18-CC-6-FG3",-191.359806209107,-71.988634441609,-5.12062395417323,142.990396023915,56.2881456635741,-196.95717725398,-111.292669751165,-90.241563507675,26.8493288854854,60.027741338843,60.162157549273,38.4730461861526,-7.92459739564963,25.7800159990293,184.741692066353,100.825927451327,16.4918415587916,232.034972301297,-362.068207457559,-135.044694233691,-103.492486764739,69.5117422404473,247.410869725305,-6.69038734082655,-75.3490981061481,-103.861952120867,121.151291666468,373.2638429089,163.879493353045,130.795977723368
"SL18-JS-5-FG1",-82.9856793058784,43.1571425922924,-202.806797135658,-99.2024612761516,20.8710247785906,13.8162528492348,100.972137488009,-61.1728392166824,-70.2231949043911,-36.755213111486,-25.3479950498624,-33.6637797336285,-16.1533816103814,-3.73993305862689,175.283225651419,74.8871445882372,325.616448604998,-287.891975087462,-219.604235055244,162.725340374459,-75.6831402513115,-356.685449032307,-310.317888682602,-272.883360386469,164.649823640855,-144.080327726244,98.7663888901797,49.6386126488496,-45.559721058657,134.777658859156
"SL18-LD-13-FG2",-55.481910135399,-180.101779601313,-93.9159431389859,-178.579267237379,170.416133201958,73.8522982368707,94.0840823781203,-309.618744212366,191.693563160023,293.023108684194,73.3947850702046,26.4658737370767,143.421998408424,-260.522595063238,56.2628561547664,-271.482271579265,-91.7232156688567,78.0154715457924,-60.5924442753735,35.5498752950731,-109.753967634867,176.053691697537,138.338219457518,-166.468617021212,187.778371136692,121.73960285962,155.615906781988,-132.583684260774,-236.252822862661,227.774293471086
"SL18-NC-5-FG2",-59.8220745041395,61.3371858289474,-130.159985989403,-82.8196039854639,74.2906401214977,-110.876913049185,46.6751602051947,-125.148594358302,-47.9103593226713,36.6909463191588,-94.1974735268987,-44.3091977753716,25.0427083811356,89.0687405691237,30.1129723290696,56.2570984033879,-272.362170793018,-211.5743397112,-181.594907331386,63.6439752829377,-19.6426355793277,23.6098500681402,76.429738159961,234.314283827242,-93.7879801673546,-46.814140642704,-93.6308091403688,-322.080856716818,318.494206721058,245.020165611991
"SL18-NL-2-FG1",83.5060948596393,-36.2161727289243,-156.769724511618,-55.9648106637622,-2.00213402145169,-22.4948932104429,24.4362066635222,-33.3295306284078,-43.0201373736917,-7.812383083951,54.8557352198751,-103.871328404863,26.2241198424525,9.43250717948285,29.4869928916937,4.74692442225077,-16.7029222764032,-10.1425727257805,-100.932271540848,-68.7738781614335,19.9723757367939,133.717787521646,-9.30304887663312,132.587131014576,-65.0652578792521,43.3273817560129,93.952581130449,35.1874868493003,-18.9914586477421,44.1757918730808
"SL18-NL-3-FG1",-25.7118369662337,36.8965809577749,-200.092825725103,36.0212420098566,12.5976631492966,-120.925097384183,50.6175288876222,-104.986035015145,-132.321149516397,-94.6904078947511,-86.1132943553505,-36.5183991424411,-32.2101657713806,56.1069972890786,211.578317742224,197.442845035209,-94.7346493277468,-221.083902332591,-183.120283489074,79.9439608886437,117.922806517073,-72.6538780888584,280.770367794651,297.698644816325,217.960877183867,-38.9744564901364,119.908431189179,-75.3073267139627,-190.345962230257,-153.475096821881
