Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SL18-UCONN-S73-FG2,female,-0.032458305,0.000388403,,0.034089732,0.000552549,,-0.184126149,0.149179211,-0.017564348
SL18-UCONN-S73-FG1,female,-0.032458305,0.000388403,,0.034089732,0.000552549,,-0.184126149,0.149179211,-0.017564348
SL18-UCONN-S73-FG3,female,-0.032458305,0.000388403,,0.034089732,0.000552549,,-0.184126149,0.149179211,-0.017564348
SL18-BL-17-FG3,female,0.027148307,0.002861773,,0.033952331,0.002519664,,0.025370125,0.132043077,-0.004753216
SL18-TI-4-FG2,female,0.03045429,0.001411326,,0.03323335,0.001498632,,-0.090354063,0.128782806,-0.01460334
SA18-CB-5-FG6,female,-0.052968423,3.94E-07,,0.032905844,0.003122518,,-0.304405428,0.107815018,0.068109355
SL18-CC-9-FG1,female,-0.031186008,0.000349465,,0.032395602,0.001277916,,0.428660888,0.17768415,-0.109039532
SL18-TI-4-FG3,female,0.021728287,0.004166249,,0.03237215,0.003570614,,0.038773391,0.156024541,-0.086089933
SL18-FI-1-FG3,female,0.017747337,0.001312778,,0.032322344,0.001494291,,-0.069523443,0.157792775,-0.055122079
SL18-OI-9-FG4,female,-0.057163359,2.59E-07,,0.032031401,0.002920067,,-1.112147245,0.033766879,0.204052867
SL18-FW-12-FG10,female,0.017461036,0.003124044,,0.031155396,0.003459192,,0.060315549,0.150861675,-0.068691086
SL18-FI-2-FG12,female,0.008176551,0.003122703,,0.030931459,0.003377055,,-0.01214141,0.105274798,-0.012363088
SL18-FW-14-FG13,female,0.001947333,0.001991995,,0.030502025,0.002295741,,-0.061088592,0.083027336,0.002623403
SL18-BL-10-FG2,female,0.005065855,0.003433821,,0.029926345,0.003438271,,0.036498914,0.153905104,-0.050399325
SL18-TI-4-FG1,female,0.032569854,0.002767958,,0.028877322,0.001768858,,-0.076281202,0.140466849,-0.046340548
SL18-OI-11-FG1,female,0.086806803,0.000949393,39,0.027091092,5.30E-08,,-0.028461939,0.237426544,-0.081152918
SL18-FW-12-FG4,female,0.0104965,0.000897655,,0.025571916,0.001033064,,0.049964792,0.115519225,-0.047186164
SL18-NL-3-FG3,female,-0.01330724,0.007486247,,0.025498589,0.008701525,,0.626518862,0.164905119,-0.142088321
SL18-TI-3-FG6,female,0.015227831,0.000790081,,0.024089108,0.000890917,,-0.106938265,0.078888661,0.006351819
SL18-TI-3-FG5,female,0.015227831,0.000790081,,0.024089108,0.000890917,,-0.106938265,0.078888661,0.006351819
SL18-TI-3-FG4,female,0.015227831,0.000790081,,0.024089108,0.000890917,,-0.106938265,0.078888661,0.006351819
SL18-FI-2-FG10,female,0.010232356,0.002739194,,0.021671591,0.002672853,,-0.032084429,0.118631358,-0.029099529
SL18-BL-18-FG10,female,0.004748426,0.002568699,,0.0210729,0.002149745,,0.035739803,0.131284952,-0.044420246
SL18-BL-18-FG11,female,0.00212433,0.001038928,,0.020966666,0.001010923,,-0.015634673,0.0939877,-0.00943156
SL18-UCONN-S158-FG3,female,0.000535785,4.56E-06,,0.018786749,0.000225188,,-0.687704999,0.104419675,0.08765403
