"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM"
"SL18-JS-16-FG3","SL18-JS-16-FG3",-0.253688575916399,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,9.36784956973023e-08,NA,"Ne60",9.36784956973023e-08,-0.253688575916399,2.95509911360902e-08,-0.218880366464724
"SL18-CC-1-FG2","SL18-CC-1-FG2",-0.141226759120217,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,9.42562613042805e-08,NA,"Ne60",9.42562613042805e-08,-0.141226759120217,2.64653025553966e-08,-0.0771456869772464
"SL18-CC-5-FG2","SL18-CC-5-FG2",0.32057302375781,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0232319816715807,NA,"Ne60",0.0232319816715807,0.32057302375781,0.0102381944939026,0.176052853669648
"SL18-CC-5-FG3","SL18-CC-5-FG3",0.127931968922879,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00179441501621,NA,"Ne60",0.00179441501621,0.127931968922879,0.00785915443405978,0.110644511290232
"SL18-JS-16-FG1","SL18-JS-16-FG1",-0.184182727563752,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,1.89836631483104e-07,NA,"Ne60",1.89836631483104e-07,-0.184182727563752,3.61064093914446e-08,-0.175327468987645
"SL18-NC-12-FG2","SL18-NC-12-FG2",-0.083174416331025,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00166785566948168,NA,"Ne60",0.00166785566948168,-0.083174416331025,6.97980090341984e-08,-0.158438441897056
"SL18-OD-5-FG1","SL18-OD-5-FG1",-0.126867079178939,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,3.59045352061758e-07,NA,"Ne60",3.59045352061758e-07,-0.126867079178939,7.51273058196253e-08,-0.159090158139864
"SA18-CB-9-FG1","SA18-CB-9-FG1",0.0998105688386726,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0124111207391777,NA,"Ne60",0.0124111207391777,0.0998105688386726,0.0216554121142874,0.188286432980654
"SL18-CC-5-FG1","SL18-CC-5-FG1",0.135073464787444,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00264383803617119,NA,"Ne60",0.00264383803617119,0.135073464787444,1.07135656685856e-06,0.0821457115086987
"SL18-CC-12-FG3","SL18-CC-12-FG3",0.190489982971604,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00253137736698442,NA,"Ne60",0.00253137736698442,0.190489982971604,5.0816395676328e-08,0.131054203013267
