"","Indiv","Row.names","AshFDwPM","AshOnly","DWpM","WWP","PDW","Sire","Dam","Sex","Born","equiGen","isCandidate","IndivNum","Breed","Age","Class","c0","c1","lb","oc","ub","oc240","oc600"
"SA18-CB-9-FG1","SA18-CB-9-FG1","SA18-CB-9-FG1",0.0998105688386726,-0.186224750178688,0.188286432980654,0.487078119199604,0.11781551853083,NA,90,"female",2,0.5,TRUE,"145","missing",3,"missing.Age3.female",0,0,0,2.16332877086151e-10,0.99999990831671,0,5.89317209316634e-11
"SL18-UCONN-S2-FG2","SL18-UCONN-S2-FG2","SL18-UCONN-S2-FG2",0.0981571310101994,-0.122513894345707,0.00837787389928813,-0.112394396977102,0.0284677157012779,NA,607,"female",4,1.25,TRUE,"817","missing",1,"missing.Age1.female",0.0125,0,0,0.011130175652612,0.99999990831671,0.0111292453508246,0.0111299308138553
"SL18-UCONN-S2-FG1","SL18-UCONN-S2-FG1","SL18-UCONN-S2-FG1",0.0981571310101994,-0.122513894345707,0.00837787389928821,-0.112394396977102,0.0284677157012786,NA,607,"female",4,1.25,TRUE,"816","missing",1,"missing.Age1.female",0.0125,0,0,0.0111295919041602,0.99999990831671,0.0111297866027144,0.011126880627831
"SL18-UCONN-S2-FG3","SL18-UCONN-S2-FG3","SL18-UCONN-S2-FG3",0.0981571310101994,-0.122513894345707,0.00837787389928828,-0.112394396977101,0.0284677157012776,NA,607,"female",4,1.25,TRUE,"818","missing",1,"missing.Age1.female",0.0125,0,0,0.0111295271470436,0.99999990831671,0.0111297237809778,0.0111266041355559
"SL18-UCONN-S5-FG1","SL18-UCONN-S5-FG1","SL18-UCONN-S5-FG1",0.0978164247972149,0.149491388780604,0.0629202556477542,0.131335191248387,0.130111703923511,NA,635,"female",4,1.25,TRUE,"840","missing",1,"missing.Age1.female",0.0125,0,0,0.0088135879544089,0.99999990831671,0.00881360397294676,0.00881236898623251
"SL18-UCONN-S5-FG3","SL18-UCONN-S5-FG3","SL18-UCONN-S5-FG3",0.0978164247972145,0.149491388780602,0.0629202556477537,0.131335191248386,0.130111703923511,NA,635,"female",4,1.25,TRUE,"842","missing",1,"missing.Age1.female",0.0125,0,0,0.0088132279184615,0.99999990831671,0.00881322208797307,0.00881208776277477
"SL18-UCONN-S5-FG2","SL18-UCONN-S5-FG2","SL18-UCONN-S5-FG2",0.0978164247972144,0.149491388780604,0.0629202556477537,0.131335191248386,0.130111703923512,NA,635,"female",4,1.25,TRUE,"841","missing",1,"missing.Age1.female",0.0125,0,0,0.00881268148524133,0.99999990831671,0.00881349175016923,0.00881568059772356
"SL18-OD-10-FG2","SL18-OD-10-FG2","SL18-OD-10-FG2",0.0933202831128037,-0.0284193699136603,0.163221978587578,0.607147339778805,-0.0715064778743932,NA,77,"female",2,0.5,TRUE,"438","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,8.34426068318411e-11
"SL18-OI-11-FG1","SL18-OI-11-FG1","SL18-OI-11-FG1",0.0868068029054476,-0.0284619390367197,0.0270910920490442,0.237426544176312,-0.0811529179893909,NA,4,"female",2,0.5,TRUE,"264","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,5.95527587765279e-11
"SL18-CC-11-FG3","SL18-CC-11-FG3","SL18-CC-11-FG3",0.0758734086851409,0.651268620698108,0.295504918577678,0.958642323261777,-0.249171748664275,NA,58,"female",2,0.5,TRUE,"281","missing",3,"missing.Age3.female",0,0,0,1.63381107472035e-10,0.99999990831671,0,2.06117587162911e-11
"SL18-OI-15-FG3","SL18-OI-15-FG3","SL18-OI-15-FG3",0.0737304909005047,-0.36575454478355,0.0873382923568755,0.334466775509242,0.0734720468745016,NA,5,"female",2,0.5,TRUE,"486","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,3.71358083442003e-11
"SL18-OI-15-FG4","SL18-OI-15-FG4","SL18-OI-15-FG4",0.0737304909005046,-0.365754544783548,0.0873382923568757,0.334466775509243,0.0734720468745023,NA,5,"female",2,0.5,TRUE,"529","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,3.44533788784007e-11
"SL18-OI-15-FG2","SL18-OI-15-FG2","SL18-OI-15-FG2",0.0737302136625876,-0.365753946949451,0.118258939535694,0.472333072005105,0.116457549318703,NA,5,"female",2,0.5,TRUE,"285","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,2.7175516876325e-11
"SL18-UCONN-S143-FG1","SL18-UCONN-S143-FG1","SL18-UCONN-S143-FG1",0.0699282233638459,-0.0262472279085362,0.0530450492274168,0.152192847682073,0.0603632388990293,NA,566,"female",4,1.25,TRUE,"798","missing",1,"missing.Age1.female",0.0125,0,0,0.0150663783476646,0.99999990831671,0.0150666376743354,0.0150658353810701
"SL18-UCONN-S143-FG2","SL18-UCONN-S143-FG2","SL18-UCONN-S143-FG2",0.0699282233638455,-0.0262472279085365,0.0530450492274169,0.152192847682073,0.060363238899029,NA,566,"female",4,1.25,TRUE,"799","missing",1,"missing.Age1.female",0.0125,0,0,0.0150661117673104,0.99999990831671,0.0150663876237958,0.0150654514538771
"SL18-UCONN-S143-FG3","SL18-UCONN-S143-FG3","SL18-UCONN-S143-FG3",0.0699282233638452,-0.0262472279085375,0.0530450492274159,0.15219284768207,0.0603632388990292,NA,566,"female",4,1.25,TRUE,"800","missing",1,"missing.Age1.female",0.0125,0,0,0.0150665922747316,0.99999990831671,0.0150661346017297,0.0150672066787797
"SL18-UCONN-S4-FG2","SL18-UCONN-S4-FG2","SL18-UCONN-S4-FG2",0.0670366379675688,-0.362606788992391,0.0985651967543175,0.201131767185838,-0.0580747619010936,NA,788,"female",4,1.25,TRUE,"829","missing",1,"missing.Age1.female",0.0125,0,0,0.0134353939832574,0.99999990831671,0.0134357179584185,0.013434450899574
"SL18-UCONN-S4-FG1","SL18-UCONN-S4-FG1","SL18-UCONN-S4-FG1",0.0670366379675685,-0.362606788992391,0.0985651967543162,0.201131767185833,-0.058074761901094,NA,788,"female",4,1.25,TRUE,"828","missing",1,"missing.Age1.female",0.0125,0,0,0.0134350690151444,0.99999990831671,0.0134363208228156,0.0134353620032319
"SL18-UCONN-S4-FG3","SL18-UCONN-S4-FG3","SL18-UCONN-S4-FG3",0.0670366379675684,-0.36260678899239,0.0985651967543165,0.201131767185836,-0.0580747619010935,NA,788,"female",4,1.25,TRUE,"830","missing",1,"missing.Age1.female",0.0125,0,0,0.0134370920139082,0.99999990831671,0.0134355665220586,0.013436001012952
"SL18-UCONN-S157-FG2","SL18-UCONN-S157-FG2","SL18-UCONN-S157-FG2",0.0652751848546538,-0.278738403873098,0.0540094741770016,0.171380964953162,0.144621245600264,NA,578,"female",4,1.25,TRUE,"805","missing",1,"missing.Age1.female",0.0125,0,0,0.0118082458348842,0.99999990831671,0.0118071662925691,0.0118062434427724
"SL18-UCONN-S157-FG1","SL18-UCONN-S157-FG1","SL18-UCONN-S157-FG1",0.0652751848546537,-0.278738403873098,0.0540094741770018,0.171380964953163,0.144621245600264,NA,578,"female",4,1.25,TRUE,"804","missing",1,"missing.Age1.female",0.0125,0,0,0.0118070043556551,0.99999990831671,0.0118073182490216,0.0118072164381656
"SL18-UCONN-S157-FG3","SL18-UCONN-S157-FG3","SL18-UCONN-S157-FG3",0.0652751848546534,-0.278738403873098,0.0540094741770014,0.171380964953161,0.144621245600264,NA,578,"female",4,1.25,TRUE,"806","missing",1,"missing.Age1.female",0.0125,0,0,0.0118072941108269,0.99999990831671,0.011807870251337,0.0118097709370862
"SL18-BL-16-FG3","SL18-BL-16-FG3","SL18-BL-16-FG3",0.0569195123980053,-0.0313977914829089,0.0761128509558577,0.243653652421222,0.0883777794521816,NA,56,"female",2,0.5,TRUE,"398","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,2.88137453008791e-10,1.49727991565196e-11
"SL18-OI-18-FG5","SL18-OI-18-FG5","SL18-OI-18-FG5",0.0541952447249217,-0.491554217412521,0.00287493278909776,-0.184977464489128,0.459732908086953,NA,8,"female",2,0.5,TRUE,"267","missing",3,"missing.Age3.female",0,0,0,2.55457865503657e-10,0.99999990831671,0,4.58782888472289e-11
"SL18-UCONN-S94-FG2","SL18-UCONN-S94-FG2","SL18-UCONN-S94-FG2",0.0534863446273081,0.602273306967118,0.128363431782174,0.518927179971842,-0.322753203247297,NA,660,"female",4,1.25,TRUE,"859","missing",1,"missing.Age1.female",0.0125,0,0,0.0165185414425653,0.99999990831671,0.016518337730818,0.0165160181066366
"SL18-UCONN-S94-FG1","SL18-UCONN-S94-FG1","SL18-UCONN-S94-FG1",0.0534863446273081,0.602273306967115,0.128363431782175,0.518927179971843,-0.322753203247297,NA,660,"female",4,1.25,TRUE,"858","missing",1,"missing.Age1.female",0.0125,0,0,0.0165183773829425,0.99999990831671,0.0165185983321743,0.0165173801099057
"SL18-UCONN-S94-FG3","SL18-UCONN-S94-FG3","SL18-UCONN-S94-FG3",0.053486344627308,0.602273306967116,0.128363431782174,0.518927179971841,-0.322753203247297,NA,660,"female",4,1.25,TRUE,"860","missing",1,"missing.Age1.female",0.0125,0,0,0.0165186380604741,0.99999990831671,0.0165178231335709,0.0165159670685916
"SL18-OI-4-FG3","SL18-OI-4-FG3","SL18-OI-4-FG3",0.0506501226318822,0.188364457694217,0.0466036499872366,0.106736062084602,0.0237496165943988,NA,1,"female",2,0.5,TRUE,"430","missing",3,"missing.Age3.female",0,0,0,2.44217715846951e-11,0.99999990831671,0,3.40631234103134e-11
"SL18-UCONN-S32-FG1","SL18-UCONN-S32-FG1","SL18-UCONN-S32-FG1",0.0489595166308104,0.305826218160885,0.0436120129744451,-0.00685599047347502,0.222934629335342,NA,620,"female",4,1.25,TRUE,"822","missing",1,"missing.Age1.female",0.0125,0,0,0.00600511019939777,0.99999990831671,0.00600519407307253,0.00600424021650237
"SL18-UCONN-S32-FG3","SL18-UCONN-S32-FG3","SL18-UCONN-S32-FG3",0.0489595166308102,0.305826218160884,0.0436120129744446,-0.00685599047347641,0.222934629335343,NA,620,"female",4,1.25,TRUE,"824","missing",1,"missing.Age1.female",0.0125,0,0,0.00600591304958834,0.99999990831671,0.00600496722427137,0.00601095276064741
"SL18-UCONN-S32-FG2","SL18-UCONN-S32-FG2","SL18-UCONN-S32-FG2",0.0489595166308091,0.305826218160885,0.0436120129744436,-0.00685599047347916,0.22293462933534,NA,620,"female",4,1.25,TRUE,"823","missing",1,"missing.Age1.female",0.0125,0,0,0.00600446196048775,0.99999990831671,0.00600514878498194,0.00600639264010851
