"","Indiv","Row.names","AshFDwPM","AshOnly","DWpM","WWP","PDW","Sire","Dam","Sex","Born","equiGen","isCandidate","IndivNum","Breed","Age","Class","c0","c1","lb","oc","ub","oc240","oc600"
"SL18-BL-11-FG1","SL18-BL-11-FG1","SL18-BL-11-FG1",0.0335995818736049,0.0336867443480693,0.0646912604720981,0.239131540209629,-0.0111232860680658,NA,51,"female",2,0.5,TRUE,"403","missing",3,"missing.Age3.cohort",0,0,0,3.28730674996253e-15,0.999999999999448,1.41199238543754e-15,3.30199623035601e-16
"SL18-FW-14-FG11","SL18-FW-14-FG11","SL18-FW-14-FG11",0.0209168326644704,-0.0353447235351072,0.0632726359711587,0.191232286961326,0.00921118842360767,NA,29,"female",2,0.5,TRUE,"352","missing",3,"missing.Age3.cohort",0,0,0,0.00312234319517578,0.999999999999448,0.00328702090648466,0.00331846918099115
"SL18-BL-12-FG1","SL18-BL-12-FG1","SL18-BL-12-FG1",0.0410418124558221,-0.0713342642261342,0.0630431635498303,0.198084681253462,0.0367881113025364,NA,52,"female",2,0.5,TRUE,"540","missing",3,"missing.Age3.cohort",0,0,0,3.10859244705507e-15,0.999999999999448,1.75806353022537e-15,0
"SL18-UCONN-S5-FG1","SL18-UCONN-S5-FG1","SL18-UCONN-S5-FG1",0.0978164247972149,0.149491388780604,0.0629202556477542,0.131335191248387,0.130111703923511,NA,635,"female",4,1.25,TRUE,"840","missing",1,"missing.Age1.cohort",0.0128205128205128,0,0,1.76821645525668e-16,0.999999999999448,1.81994620016263e-16,1.55382663460964e-16
"SL18-UCONN-S5-FG3","SL18-UCONN-S5-FG3","SL18-UCONN-S5-FG3",0.0978164247972145,0.149491388780602,0.0629202556477537,0.131335191248386,0.130111703923511,NA,635,"female",4,1.25,TRUE,"842","missing",1,"missing.Age1.cohort",0.0128205128205128,0,0,1.01019550988988e-16,0.999999999999448,3.21718585705475e-16,3.39248000769394e-16
"SL18-UCONN-S5-FG2","SL18-UCONN-S5-FG2","SL18-UCONN-S5-FG2",0.0978164247972144,0.149491388780604,0.0629202556477537,0.131335191248386,0.130111703923512,NA,635,"female",4,1.25,TRUE,"841","missing",1,"missing.Age1.cohort",0.0128205128205128,0,0,7.11594964872938e-17,0.999999999999448,2.22569922675937e-16,2.66978113838058e-16
"SL18-BL-11-FG2","SL18-BL-11-FG2","SL18-BL-11-FG2",0.0401276423297629,-0.0655760217372883,0.0625459399886326,0.201690320106724,-0.000773685088420545,NA,51,"female",2,0.5,TRUE,"539","missing",3,"missing.Age3.cohort",0,0,0,0.000918096482147784,0.999999999999448,0.00100244635173504,0.00101865808358251
"SL18-BL-11-FG3","SL18-BL-11-FG3","SL18-BL-11-FG3",0.0401276423297631,-0.0655760217372863,0.0625459399886321,0.201690320106723,-0.000773685088420455,NA,51,"female",2,0.5,TRUE,"542","missing",3,"missing.Age3.cohort",0,0,0,0.000918110161960703,0.999999999999448,0.00100245977060631,0.00101866266082043
"SL18-CC-8-FG2","SL18-CC-8-FG2","SL18-CC-8-FG2",-0.0029694466746709,-0.0144637256101305,0.0617845517946694,0.245898811327095,-0.220508792420887,NA,26,"female",2,0.5,TRUE,"288","missing",3,"missing.Age3.cohort",0,0,0,6.77412751498499e-16,0.999999999999448,0,0
"SL18-FI-1-FG11","SL18-FI-1-FG11","SL18-FI-1-FG11",0.0373086482552121,-0.0755090579126288,0.0598625358532351,0.192599677305212,-0.00949845823257339,NA,17,"female",2,0.5,TRUE,"409","missing",3,"missing.Age3.cohort",0,0,0,2.66620994081133e-15,0.999999999999448,0.000153060269692934,0.000191640347852398
"SL18-FW-14-FG1","SL18-FW-14-FG1","SL18-FW-14-FG1",0.0227998648939799,-0.0740840337704672,0.0580695872182401,0.167867449132028,0.0247947650364256,NA,29,"female",2,0.5,TRUE,"480","missing",3,"missing.Age3.cohort",0,0,0,3.34746544964503e-15,0.999999999999448,7.67615518204125e-16,4.90493756923886e-17
"SL18-OD-6-FG2","SL18-OD-6-FG2","SL18-OD-6-FG2",-0.0236182057919991,0.121550166460686,0.0576298850724691,0.19720564369758,0.0534113948979616,NA,76,"female",2,0.5,TRUE,"504","missing",3,"missing.Age3.cohort",0,0,0,2.17704603610363e-15,0.999999999999448,7.13015783985492e-16,0
"SL18-FW-14-FG12","SL18-FW-14-FG12","SL18-FW-14-FG12",0.0139623351481581,-0.0155100671817562,0.0568407526196189,0.160797245980839,0.0469510868766033,NA,29,"female",2,0.5,TRUE,"353","missing",3,"missing.Age3.cohort",0,0,0,0.000940264950170151,0.999999999999448,0.00116039498032628,0.00119888193685649
"SL18-FI-1-FG2","SL18-FI-1-FG2","SL18-FI-1-FG2",0.0346075947000724,-0.0897787093903093,0.0563160867423282,0.186415117948586,-0.00372200747263612,NA,17,"female",2,0.5,TRUE,"481","missing",3,"missing.Age3.cohort",0,0,0,4.15616431679744e-15,0.999999999999448,1.46368384025857e-15,1.28889326576112e-16
